"Wiretap Table 5—Average Cost per Order
COLORADO,48,45,"71,914",
10TH JUDICIAL DISTRICT (PUEBLO),NP¹,NP¹,NP¹,
17TH JUDICIAL DISTRICT (ADAMS),NP¹,NP¹,NP¹,
18TH JUDICIAL DISTRICT (ARAPAHOE),NP¹,NP¹,NP¹,
19TH JUDICIAL DISTRICT (WELD),2,-,-,
2ND JUDICIAL DISTRICT (DENVER),36,36,"27,010",
4TH JUDICIAL DISTRICT (EL PASO),1,1,"12,404",
8TH JUDICIAL DISTRICT (JACKSON/LARIMER),9,8,"32,500",
CONNECTICUT,NP¹,NP¹,NP¹,
NEW BRITAIN,NP¹,NP¹,NP¹,
FLORIDA,65,45,"441,804",
10TH JUDICIAL CIRCUIT (POLK),1,1,"36,000",
12TH JUDICIAL CIRCUIT (SARASOTA),2,2,"47,497",
17TH JUDICIAL CIRCUIT (BROWARD),7,-,-,
18TH JUDICIAL CIRCUIT (BREVARD/SEMINOLE),8,7,"45,000",
1ST JUDICIAL CIRCUIT (ESCAMBRIA),2,-,-,
20TH JUDICIAL CIRCUIT (LEE),NP¹,NP¹,NP¹,
4TH JUDICIAL CIRCUIT (DUVAL),12,12,"32,500",
5TH JUDICIAL CIRCUIT (LAKE/MARION),2,-,-,
7TH JUDICIAL CIRCUIT (VOLUSIA),12,9,"53,637",
8TH JUDICIAL CIRCUIT (ALACHUA),1,1,"51,958",
9TH JUDICIAL CIRCUIT (ORANGE/OSCEOLA),18,13,"175,212",
GEORGIA,19,6,"246,658",
AUGUSTA,NP¹,NP¹,NP¹,
DEKALB,2,2,"101,698",
FLINT,1,1,"92,129",
GWINNETT,2,2,"51,331",
HOUSTON,11,-,-,
JACKSON,1,1,"1,500",
MACON,2,-,-,
HAWAII,6,1,"170,000",
MAUI,6,1,"170,000",
ILLINOIS,3,1,300,
JOHNSON,1,-,-,
PEORIA,1,-,-,
THIRTEENTH JUDICIAL CIRCUIT,1,1,300,
INDIANA,5,-,-,
MONROE,3,-,-,
SULLIVAN SUPERIOR,2,-,-,
KANSAS,1,-,-,
SEDGWICK,1,-,-,
MARYLAND,26,9,"281,002",
BALTIMORE,8,-,-,
CIRCUIT COURT FOR TALBOT COUNTY,NP¹,NP¹,NP¹,
HARFORD,3,3,"155,000",
WASHINGTON,14,5,"57,894",
WICOMICO,1,1,"68,108",
MASSACHUSETTS,6,2,"116,580",
ESSEX,4,-,-,
HAMPDEN,2,2,"116,580",
NEVADA,125,125,"17,186",
CLARK,125,125,"17,186",
NEW JERSEY,29,14,"254,922",
ATLANTIC,NP¹,NP¹,NP¹,
BERGEN,6,6,"13,324",
CAMDEN,1,1,"22,999",
CUMBERLAND,NP¹,NP¹,NP¹,
ESSEX,NP¹,NP¹,NP¹,
HUDSON,6,6,"84,599",
MIDDLESEX,3,-,-,
MONMOUTH,2,1,"134,000",
MORRIS,NP¹,NP¹,NP¹,
OCEAN,8,-,-,
SALEM,NP¹,NP¹,NP¹,
SOMERSET,3,-,-,
NEW YORK,287,142,"6,113,004",
ALBANY,3,3,"691,597",
BRONX,4,4,"429,922",
KINGS,4,2,"124,278",
MONROE,1,1,"1,977,815",
NASSAU,5,1,"254,990",
NYC SPECIAL NARCOTICS BUREAU,108,7,"55,332",
NYS SUPREME COURT - 4TH JUDICIAL DEPARTMENT,2,2,"441,630",
ONONDAGA,3,3,"1,152,956",
QUEENS,93,93,"12,521",
SUFFOLK,41,22,"407,536",
SULLIVAN,2,-,-,
SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,19,4,"564,426",
WESTCHESTER,2,-,-,
NORTH CAROLINA,82,70,"435,770",
ALAMANCE,7,-,-,
CATAWBA,4,3,"23,333",
FORSYTH,3,3,"37,820",
GUILFORD,1,1,"96,000",
MACON,3,3,150,
MECKLENBURG,1,1,"28,199",
MOORE,3,3,"17,533",
PASQUOTANK,1,1,360,
ROBESON,6,6,"5,167",
ROWAN,2,2,"60,000",
VANCE,28,25,"40,420",
WAKE,16,15,"74,506",
WAYNE,7,7,"52,282",
OKLAHOMA,1,1,"143,801",
OKLAHOMA,1,1,"143,801",
OREGON,1,-,-,
MULTNOMAH,1,-,-,
PENNSYLVANIA,125,62,"114,272",
PHILADELPHIA,42,30,"48,932",
SUPERIOR COURT OF PENNSYLVANIA,83,32,"65,340",
SOUTH DAKOTA,NP¹,NP¹,NP¹,
SOUTH DAKOTA - CODINGTON COUNTY,NP¹,NP¹,NP¹,
TENNESSEE,27,26,"23,850",
11TH JUDICIAL CIRCUIT (HAMILTON),1,-,-,
20TH JUDICIAL DISTRICT (DAVIDSON),26,26,"23,850",
TEXAS,1,1,"77,611",
3RD ADMIN JUDICIAL REGION FOR THE 4TH ADMIN JUDICIAL REGION,1,1,"77,611",
VIRGINIA,5,1,"224,879",
CHESTERFIELD COUNTY,5,1,"224,879",
WEST VIRGINIA,4,4,"12,950",
DESIGNATED CIRCUIT COURT JUDGE,4,4,"12,950",
WYOMING,2,2,"213,000",
NATRONA,1,1,"11,750",
PARK COUNTY,1,1,"201,250",
,,,,
"¹ NP = No prosecutor’s report. NI = Never installed.
² Includes cost for orders for which intercepts were installed but not used.",,,,
