"Wiretap Table A-1. United States District Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
ALABAMA  SOUTHERN,2017-74613,DUBOSE,BLANCO,NARCOTICS,WC,D,42839.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,195.0,13,"5,846",306,39810.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  SOUTHERN,2017-74615,STEELE,DOWNING,NARCOTICS,WC,D,42914.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,183.0,13,"5,492",958,38242.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALABAMA  SOUTHERN,2018-70181,BEAVERSTOCK,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43364.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA  SOUTHERN,2018-71880,STEELE,MATTHEW S.  MINER,CONSPIRACY,"TX,WC",D,43234.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ALABAMA  SOUTHERN,2018-71881,STEELE,MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43287.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2012-74649,ZAPATA,BLANCO,NARCOTICS,WC,D,41200.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,37893.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-74629,SILVER,BLANCO,NARCOTICS,WC,D,41396.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,20201.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-74637,COLLINS,O'BRIEN,NARCOTICS,TX,D,42527.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,107.0,119,"12,896","2,391",184786.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-69076,ZAPATA,HULSER,NARCOTICS,"TX,WC,WO",D,43082.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2017-69913,ZAPATA,DAVID C. RYBICKI,NARCOTICS,"TX,WC,WO",D,43042.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2017-70746,ZAPATA,HULSER,NARCOTICS,"TX,WC,WO",D,42950.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2017-74619,COLLINS,HULSER,NARCOTICS,WC,D,42923.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,76.0,329,"4,545","1,065",44731.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74641,ZAPATA,HULSER,NARCOTICS,WC,D,42891.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,49.0,40,"1,470",678,34846.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74643,ZAPATA,HULSER,NARCOTICS,TX,D,43048.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,0.0,0,0,0,6211.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74645,ZAPATA,RYBICKI,NARCOTICS,TX,D,43041.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,8.0,2,239,106,292966.0,12566.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74647,BURY,MCFADDEN,NARCOTICS,WC,D,42998.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,93.0,291,"5,552","1,050",44924.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74653,ZAPATA,HULSER,NARCOTICS,TX,D,42989.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,8.0,14,416,116,56868.0,4021.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74655,COLLINS,MCFADDEN,NARCOTICS,TX,D,42801.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,274.0,90,"8,224","1,325",66257.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74657,ZIPPS,SUH,NARCOTICS,TX,D,42690.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,794.0,152,"47,653","10,557",83906.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74659,BURY,BLANCO,NARCOTICS,WC,D,42718.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,669.0,125,"20,076","2,857",69746.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74661,ZAPATA,CHEUNG,NARCOTICS,TX,D,42752.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,389.0,227,"23,349","2,893",61755.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-74663,ZAPATA,HULSER,NARCOTICS,TX,D,42853.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,30.0,30,"1,815",319,38607.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-69139,CAMPBELL,HULSER,NARCOTICS,"EO,TX,WC",D,43279.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69246,SOTO,HULSER,NARCOTICS,"TX,WO",D,43245.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69379,COLLINS,RAYMOND HULSER AND DAVID RYBICKI,NARCOTICS,WC,D,43171.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69499,SOTO,HULSER,NARCOTICS,"TX,WO",D,43245.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69502,BURY,MATTHEW MINER,NARCOTICS,WC,D,43305.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69515,COLLINS,HULSER,NARCOTICS,WC,D,43130.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69608,COLLINS,DAVID C. RYBICKI,SMUGGLING,"TX,WC",D,43048.0,30.0,2.0,90.0,INSTALLED AND USED,75.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
ARIZONA,2018-69698,ZAPATA,MATTHEW S. MINER,NARCOTICS,"TX,WC,WO",D,43241.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69749,COLLINS,HULSER,NARCOTICS,"TX,WC,WO",D,43348.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69795,COLLINS,DAVID RYBICKI,NARCOTICS,"TX,WC",D,43102.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69829,COLLINS,RAYMOND HULSER AND DAVID RYBICKI,NARCOTICS,"TX,WO",D,43130.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69844,ZAPATA,DAVID C. RYBICKI,NARCOTICS,"TX,WC",D,43185.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69896,COLLINS,RICHARD DOWNING,NARCOTICS,"TX,WC",D,43272.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69898,ZAPATA,DAVID C. RYBICKI,NARCOTICS,"TX,WC,WO",D,43124.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-69991,COLLINS,MATTHEW MINER,NARCOTICS,"TX,WC,WO",D,43280.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70122,SNOW,MATTHEW S. MINER,NARCOTICS,"EO,TX,WC",D,43411.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70203,BURY,HULSER,NARCOTICS,WC,D,43124.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70215,CAMPBELL,HULSER,NARCOTICS,"EO,WC",D,43279.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70244,TUCHI,DOWNING,NARCOTICS,"EO,TX,WC",D,43419.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70309,ZAPATA,HULSER,NARCOTICS,"TX,WC",D,43341.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70330,COLLINS,DOWNING,NARCOTICS,"TX,WC",D,43328.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70334,SOTO,DOWNING,NARCOTICS,"TX,WO",D,43214.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70357,ZAPATA,DOWNING,NARCOTICS,"TX,WC,WO",D,43194.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70424,ZIPPS,DAVID C. RYBICKI,NARCOTICS,"TX,WC",D,43256.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70446,TUCHI,HULSER,NARCOTICS,"EO,TX,WC",D,43348.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70476,COLLINS,MATTHEW MINER,NARCOTICS,"TX,WO",D,43280.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70508,SOTO,DOWNING,NARCOTICS,"TX,WO",D,43179.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70532,ZAPATA,HULSER,NARCOTICS,"TX,WC,WO",D,43159.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70602,ZAPATA,HULSER,NARCOTICS,"TX,WC,WO",D,43278.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70680,COLLINS,SWARTZ,NARCOTICS,"TX,WC",D,43315.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70835,SOTO,DAVID C. RYBICKI,NARCOTICS,"TX,WO",D,43283.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-70837,COLLINS,HULSER,NARCOTICS,"TX,WC,WO",D,43315.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARIZONA,2018-74617,SOTO,RYBICKI,NARCOTICS,WC,D,43171.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,30.0,109,807,197,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74621,SOTO,DOWNING,NARCOTICS,TX,D,43178.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,60.0,25,"7,222","2,944",54421.0,4052.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74623,SOTO,HULSER,NARCOTICS,TX,D,43214.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,7.0,7,438,153,32613.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74625,COLLINS,HULSER,NARCOTICS,WC,D,43082.0,30.0,2.0,90.0,INSTALLED AND USED,60.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74627,SOTO,HULSER,NARCOTICS,TX,D,43245.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,17202.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74631,TUCHI,HULSER,NARCOTICS,WC,D,43347.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,41.0,65,"1,195",232,32713.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74633,MARQUEZ,HULSER,NARCOTICS,WC,D,43124.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,15.0,10,191,90,9582.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74635,COLLINS,HULSER,NARCOTICS,WC,D,43129.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,25.0,68,736,374,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74639,COLLINS,HULSER,NARCOTICS,WC,D,43102.0,30.0,2.0,90.0,INSTALLED AND USED,85.0,21.0,107,"1,777",473,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74651,ZAPATA,RYBICKI,NARCOTICS,TX,D,43004.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,41.0,26,"6,083","2,354",0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-74665,COLLINS,RYBICKI,NARCOTICS,WC,D,43082.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,16,43,7,22439.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2018-77459,MARQUEZ,HULSER,NARCOTICS,"OM,TX,WC",D,43125.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2016-74684,"MOODY, JR.",O'BRIEN,NARCOTICS,WC,D,42461.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,0.0,0,0,0,73286.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2017-71633,"MOODY, JR.",HULSER,CONSPIRACY,WC,D,42852.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2017-74667,MARSHALL,DOWNING,NARCOTICS,WC,D,42998.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,162.0,14,"4,543","1,434",23611.0,850.0,0,0,0.0,0.0,0.0,0,,
ARKANSAS EASTERN,2017-74670,MILLER,DOWNING,NARCOTICS,WC,D,43021.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,78.0,60,"1,399",355,15740.0,700.0,0,0,0.0,0.0,0.0,0,,
ARKANSAS EASTERN,2017-74672,MILLER,BLANCO,NARCOTICS,WC,D,42817.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,31,485,311,37760.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2017-74674,MARSHALL,SWARTZ,NARCOTICS,WC,D,42852.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,79.0,7,"2,357",76,27057.0,775.0,4.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2017-74676,MILLER,MCFADDEN,NARCOTICS,WC,D,42978.0,30.0,1.0,60.0,INSTALLED AND USED,32.0,183.0,130,"5,861","1,253",31903.0,1250.0,6.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2017-74678,"MOODY, JR.",SWARTZ,NARCOTICS,WC,D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,149.0,38,"4,483",294,26069.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2017-74680,BAKER,MCFADDEN,NARCOTICS,WC,D,42979.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,191.0,37,"5,731","2,061",24757.0,342.0,22.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2018-69068,BAKER,HULSER,CONSPIRACY,"TX,WC",D,43272.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-69916,MILLER,HULSER,CONSPIRACY,"TX,WC",D,43241.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-70050,"MOODY, JR.",HULSER,CONSPIRACY,WC,D,43174.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-70529,BAKER,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43348.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-70827,MARSHALL,HULSER,CONSPIRACY,"TX,WC",D,43126.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-71305,"MOODY, JR.",KEVIN O. DRISCOLL,CONSPIRACY,WC,D,43251.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-71313,"MOODY, JR.",SWARTZ,CONSPIRACY,WC,D,43220.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-71660,"MOODY, JR.",DAVID C. RYBICKI,CONSPIRACY,TX,D,43173.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-71693,WILSON,RICHARD DOWNING,CONSPIRACY,WC,D,43213.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-71939,"MOODY, JR.",SWARTZ,CONSPIRACY,WC,D,43193.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS EASTERN,2018-77523,"MOODY, JR.",HULSER,CONSPIRACY,WC,D,43167.0,30.0,1.0,60.0,INSTALLED AND USED,43.0,67.0,8,"2,860",350,58268.0,1190.0,0,0,0.0,0.0,0.0,0,,
ARKANSAS EASTERN,2018-77525,"MOODY, JR.",DOWNING,CONSPIRACY,WC,D,43214.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,60.0,3,"1,790",132,58680.0,775.0,0,0,0.0,0.0,0.0,0,,
ARKANSAS EASTERN,2018-77528,"MOODY, JR.",HULSER,CONSPIRACY,WC,D,43227.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,20.0,5,587,59,50666.0,775.0,0,0,0.0,0.0,0.0,0,,
ARKANSAS EASTERN,2018-77530,MILLER,DRISCOLL,MURDER,WC,D,43241.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,63.0,3,"1,904",532,76046.0,765.0,6.0,0.0,0.0,0.0,0.0,6.0,,
ARKANSAS EASTERN,2018-77532,MARSHALL,RYBICKI,CONSPIRACY,WC,D,43300.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,6.0,1,184,15,34932.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARKANSAS EASTERN,2018-77534,BAKER,HULSER,CONSPIRACY,WC,D,43348.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,358.0,33,"10,740","1,846",27886.0,1625.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77532
ARKANSAS EASTERN,2018-77535,BAKER,HULSER,CONSPIRACY,WC,D,43356.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,402.0,9,"12,073","6,986",23032.0,775.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77532
ARKANSAS EASTERN,2018-77536,BAKER,HULSER,CONSPIRACY,WC,D,43378.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,3.0,3,74,0,24349.0,1420.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77532
ARKANSAS EASTERN,2018-77537,WILSON,HULSER,CONSPIRACY,WC,D,43433.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,56.0,13,"1,691",635,21560.0,0.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77532
ARKANSAS  WESTERN,2017-69115,BROOKS,TREVOR N. MCFADDEN,DRUGS - ILLEGAL,"TX,WC",D,42986.0,27.0,0.0,27.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ARKANSAS  WESTERN,2018-70813,BROOKS,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43129.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,169,0,243,39170.0,625.0,16.0,0.0,0.0,0.0,0.0,16.0,,
CALIFORNIA CENTRAL,2011-74612,PREGERSON,WEINSTEIN,NARCOTICS,TX,D,40816.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,0.0,0,0,0,64761.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA CENTRAL,2011-74753,"WRIGHT, II",WEINSTEIN,NARCOTICS,WC,D,40802.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,0.0,0,0,0,18013.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA CENTRAL,2011-74761,"WRIGHT, II",BROWN,NARCOTICS,WC,D,40767.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,75153.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA CENTRAL,2011-74769,"WRIGHT, II",BLANCO,NARCOTICS,WC,D,40731.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,0.0,0,0,0,94725.0,5625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA CENTRAL,2012-74602,KING,BLANCO,NARCOTICS,WC,D,41172.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,21239.0,2675.0,0.0,0.0,0.0,0.0,0.0,0.0,,
