State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ARIZONA,PIMA,2015-1,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42061.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,501.0,70,"15,059",636,3761.0,1013.0,0.0,0.0,,,,0.0,,
ARIZONA,PIMA,2015-2,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,41983.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,83.0,81,"10,069","2,129",79829.0,4052.0,0.0,0.0,,,,0.0,,
ARIZONA,PIMA,2015-3,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42034.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,150.0,30,"9,024","2,473",25197.0,2026.0,0.0,0.0,,,,0.0,,
ARIZONA,PIMA,2015-4,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42020.0,30.0,2.0,90.0,INSTALLED AND USED,89.0,76.0,22,"6,802","1,238",16352.0,3039.0,0.0,0.0,,,,0.0,,
ARIZONA,PIMA,2015-5,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42093.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,136.0,34,"3,959","1,218",,,,,,,,,,
ARIZONA,PIMA,2015-6,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42114.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,55.0,12,"1,670",566,11016.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-7,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42093.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,4801.0,145,"288,088","17,238",32020.0,2026.0,0.0,0.0,,,,0.0,,
ARIZONA,PIMA,2015-8,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42151.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,8.0,2,268,35,21722.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-9,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42161.0,30.0,1.0,60.0,INSTALLED AND USED,30.0,445.0,34,"13,363","2,161",11563.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-10,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42151.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,445.0,34,"13,363","2,161",11563.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-11,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42180.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,2.0,6,42,18,4686.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-12,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42198.0,30.0,1.0,60.0,INSTALLED AND USED,15.0,2.0,6,42,18,4686.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-13,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42161.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,19.0,11,"1,177",205,22755.0,2026.0,,,,,,,,
ARIZONA,PIMA,2015-14,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42198.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,7.0,5,238,74,11201.0,1013.0,,,,,,,,
ARIZONA,PIMA,2015-15,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42180.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,19.0,11,"1,177",205,22755.0,2026.0,,,,,,,,
ARIZONA,PIMA,2015-16,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42139.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,120.0,79,"14,458","3,278",25483.0,4052.0,,,,,,,,
ARIZONA,PIMA,2015-17,FIELDS,ORTIZ,DRUGS - ILLEGAL,"WO,TX,EO",D,42198.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,207.0,39,"12,449","1,329",23039.0,2026.0,,,,,,,,
ARIZONA,STATE ATTORNEY GENERAL,2016-1,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,42559.0,30.0,10.0,330.0,INSTALLED AND USED,124.0,,,,"1,925",213711.0,15897.0,17.0,0.0,0.0,0.0,0.0,6.0,,
ARIZONA,STATE ATTORNEY GENERAL,2017-2,GRANVILLE,BARRICK,DRUGS - ILLEGAL,WC,D,42801.0,30.0,1.0,60.0,INSTALLED AND USED,40.0,,,,,27787.0,742.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2017-3,GATES,CROWLEY,DRUGS - ILLEGAL,WC,D,42818.0,30.0,2.0,90.0,INSTALLED AND USED,30.0,283.0,,"8,518",,132400.0,32400.0,4.0,,,,,1.0,,
CALIFORNIA,ALAMEDA,2017-1,ROLEFSON,O'MALLEY,MURDER,WC,D,42790.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,282.0,87,"3,949",423,28651.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-2,ROLEFSON,O'MALLEY,MURDER,WC,D,42762.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,684.0,390,"28,769","2,463",73922.0,17381.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-3,ROLEFSON,O'MALLEY,MURDER,WC,D,42780.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,132.0,73,"3,179",127,26660.0,3175.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-4,ROLEFSON,O'MALLEY,OTHER,WC,D,42866.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,145.0,134,"2,912",211,231648.0,13692.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-5,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42866.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,45.0,141,914,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-6,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42879.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,35.0,99,358,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-7,ROLEFSON,O'MALLEY,OTHER,WC,D,42879.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,64.0,96,643,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-8,ROLEFSON,O'MALLEY,OTHER,WC,D,42898.0,30.0,0.0,30.0,INSTALLED AND USED,4.0,159.0,45,636,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-9,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,42905.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,326.0,193,"6,195","1,239",179824.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-10,ROLEFSON,O'MALLEY,OTHER,WC,D,42907.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,20.0,76,406,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-11,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42909.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,0.0,5,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-12,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42907.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,49.0,235,"1,438",216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-13,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42881.0,30.0,1.0,60.0,INSTALLED AND USED,57.0,11.0,146,654,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-14,ROLEFSON,O'MALLEY,OTHER,WC,D,42879.0,30.0,1.0,60.0,INSTALLED AND USED,57.0,213.0,279,"12,144",468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-15,ROLEFSON,O'MALLEY,OTHER,"WC,EE",O,42898.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,33.0,144,"1,416",433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-16,ROLEFSON,O'MALLEY,OTHER,WC,D,42900.0,30.0,1.0,60.0,INSTALLED AND USED,41.0,135.0,264,"5,552",706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-17,ROLEFSON,O'MALLEY,OTHER,WC,D,42930.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,95.0,126,"2,773",64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-4,
CALIFORNIA,ALAMEDA,2017-18,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,42964.0,30.0,0.0,30.0,INSTALLED AND USED,31.0,154.0,"3,907","4,781",52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-19,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,42978.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,260.0,"3,049","5,740",31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-20,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,42983.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,131.0,640,"2,229",23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2017-21,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,42958.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,51.0,"1,019","2,182",34,104174.0,7742.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,BUTTE,2017-1,GLUSMAN,RAMSEY,MURDER,"WC,WS,TX","D,H",42838.0,17.0,0.0,17.0,INSTALLED AND USED,18.0,291.0,,"5,248",61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-1,LAETTNER,PETERSON,MURDER,WC,D,42895.0,30.0,0.0,30.0,INSTALLED AND USED,2.0,28.0,10,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-2,LAETTNER,PETERSON,MURDER,WC,D,42881.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,61.0,172,"1,859",179,24400.0,2900.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-3,LAETTNER,PETERSON,MURDER,WC,D,42888.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,167.0,185,"4,343",178,199300.0,15300.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-4,LAETTNER,PETERSON,OTHER,WC,D,42888.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,177.0,403,"5,336",505,242900.0,23100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-5,LAETTNER,MACMASTER,OTHER,WC,D,42902.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,24.0,32,652,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-6,LAETTNER,MACMASTER,MURDER,WC,D,42914.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,106.0,147,"1,908",168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-7,LAETTNER,MACMASTER,OTHER,WC,D,42916.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,27.0,25,554,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-8,LAETTNER,MACMASTER,OTHER,WC,D,42909.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,161.0,309,"4,522",270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-9,LAETTNER,BECTON,OTHER,WC,D,43010.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,351.0,"1,382","9,840","3,771",138300.0,16800.0,7.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-10,LAETTNER,BECTON,OTHER,WC,D,43019.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,356.0,732,"6,771",518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2017-11,LAETTNER,BECTON,MURDER,WC,D,43080.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,73.0,353,"1,325",108,26850.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,Fourth Appellate District,2017-1,THOMPSON,ENGLER,MURDER,"WC,TX",D,42810.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,38.0,176,767,3,33200.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2017-1,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42929.0,30.0,0.0,30.0,NEVER INSTALLED,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2017-2,HARRELL,SMITTCAMP,MURDER,"WC,TX,EO",D,42936.0,30.0,1.0,50.0,INSTALLED AND USED,49.0,12313.0,"1,180","603,382",0,204293.0,6857.0,10.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-1,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42739.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,1,3,0,30393.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-2,PLOURD,OTERO,NARCOTICS,WC,D,42739.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,89.0,131,"2,670",916,30393.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-3,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42760.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,74.0,114,"2,223",279,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-4,PLOURD,OTERO,NARCOTICS,WC,D,42780.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,131.0,149,"3,945",754,30393.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-5,PLOURD,OTERO,NARCOTICS,WC,D,42780.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,39.0,53,"1,172",516,30393.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-6,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42800.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,173.0,230,"5,216",552,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-7,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42830.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,115.0,180,"3,478",697,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-8,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42871.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,421.0,285,"12,646",392,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-9,PLOURD,OTERO,NARCOTICS,WC,D,42873.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,45.0,63,"1,359",27,30393.0,1750.0,5.0,2.0,0.0,0.0,0.0,3.0,,
CALIFORNIA,IMPERIAL,2017-10,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42892.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,196.0,66,"5,901",436,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-11,PLOURD,OTERO,NARCOTICS,"WC,TX",D,42913.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,323.0,136,"9,706",,30324.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2017-12,PLOURD,OTERO,NARCOTICS,WC,D,42929.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,13.0,3,830,131,15667.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2017-1,BROWNLEE,GREEN,MURDER,"WC,TX",D,42811.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,125.0,103,"3,775",81,5027837.0,17680.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2017-2,BROWNLEE,GREEN,MURDER,WC,D,42802.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,112.0,92,"6,734",277,540918.0,17680.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2017-3,BROWNLEE,GREEN,MURDER,WC,D,42831.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,112.0,92,"6,734",277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2017-4,BROWNLEE,GREEN,MURDER,"WC,TX",D,42846.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,128.0,181,"3,850",365,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-1,FIDLER,LACEY,NARCOTICS,WC,D,42675.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,78.0,165,"4,693",909,40000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-2,FIDLER,LACEY,NARCOTICS,WC,D,42706.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,62.0,30,"1,860",146,40000.0,4000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-3,FIDLER,LACEY,NARCOTICS,WC,D,42710.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,12,100,18,27500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-4,FIDLER,LACEY,NARCOTICS,WC,D,42706.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4.0,8,137,11,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-5,FIDLER,LACEY,NARCOTICS,WC,D,42706.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,29.0,18,877,52,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-6,FIDLER,LACEY,NARCOTICS,WC,D,42684.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,31.0,80,"1,870",738,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-7,FIDLER,LACEY,MURDER,WC,D,42710.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,961.0,68,"28,839",289,11200.0,4000.0,6.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-8,FIDLER,LACEY,NARCOTICS,WC,D,42710.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,28.0,27,840,233,20000.0,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-9,FIDLER,LACEY,NARCOTICS,WC,D,42622.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,18.0,12,"2,180",685,64700.0,16700.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2017-10,FIDLER,LACEY,NARCOTICS,WC,D,42716.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,10.0,21,276,135,4500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
