State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost ($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
ARIZONA,STATE ATTORNEY GENERAL,2011-26,GRANVILLE,BARRICK,NARCOTICS,WC,D,40801.0,30,0,30,INSTALLED AND USED,20.0,15.0,10.0,302.0,30.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2011-27,GRANVILLE,BARRICK,NARCOTICS,WC,D,40801.0,30,0,30,INSTALLED AND USED,30.0,25.0,22.0,750.0,250.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2012-44,RAYES,BARRICK,NARCOTICS,WC,D,40822.0,30,5,180,INSTALLED AND USED,60.0,222.0,42.0,13312.0,2374.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2012-45,GRANVILLE,COATES,NARCOTICS,"WC,TX",D,41206.0,30,2,90,INSTALLED AND USED,30.0,28.0,23.0,829.0,153.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2013-1,O'CONNOR,CROWLEY,NARCOTICS,"WC,WO",D,41248.0,30,4,150,INSTALLED AND USED,30.0,2.0,9.0,60.0,30.0,48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2013-2,PINEDA,CONTI,NARCOTICS,"WC,TX",D,41250.0,30,2,90,INSTALLED AND USED,23.0,39.0,57.0,902.0,185.0,22479.0,750.0,22.0,0.0,0.0,0.0,0.0,5.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-3,KREAMER,COATES,NARCOTICS,WC,D,41256.0,30,3,120,INSTALLED AND USED,53.0,52.0,5.0,2776.0,378.0,302000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-4,GRANVILLE,BARRICK,NARCOTICS,"WC,TX",D,41288.0,30,2,90,INSTALLED AND USED,113.0,44.0,10.0,4981.0,2341.0,399564.0,80000.0,33.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-5,GRANVILLE,CROWLEY,NARCOTICS,WC,D,41291.0,30,4,150,INSTALLED AND USED,113.0,52.0,10.0,5885.0,1528.0,122325.0,11617.0,16.0,0.0,0.0,0.0,0.0,10.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-6,FIELDS,MORROW,NARCOTICS,"WC,OO,TX,EO",D,41327.0,30,1,60,INSTALLED AND USED,59.0,58.0,107.0,3433.0,815.0,45210.0,1750.0,22.0,0.0,0.0,0.0,0.0,5.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-7,BERNINI,MORROW,CONSPIRACY,"WC,OO,TX,EO",D,41348.0,30,0,30,INSTALLED AND USED,25.0,14.0,5.0,350.0,85.0,18593.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-8,BERNINI,MORROW,NARCOTICS,"WC,OO,TX,EO",D,41355.0,30,0,30,INSTALLED AND USED,27.0,37.0,76.0,1000.0,100.0,23479.0,1750.0,22.0,0.0,0.0,0.0,0.0,5.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-9,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41355.0,30,2,90,INSTALLED AND USED,87.0,35.0,8.0,3068.0,1285.0,45522.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-10,WELTY,BARRICK,NARCOTICS,WC,D,41365.0,30,7,240,INSTALLED AND USED,21.0,6.0,5.0,126.0,67.0,33600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2013-11,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41367.0,30,0,30,INSTALLED AND USED,10.0,55.0,15.0,546.0,256.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2013-12,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41367.0,30,0,30,INSTALLED AND USED,12.0,52.0,17.0,630.0,222.0,28800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,STATE ATTORNEY GENERAL,2013-13,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41367.0,30,0,30,INSTALLED AND USED,169.0,50.0,667.0,8420.0,3269.0,353106.0,42210.0,25.0,0.0,0.0,0.0,0.0,5.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-14,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41374.0,30,0,30,INSTALLED AND USED,59.0,72.0,30.0,4239.0,2800.0,97361.0,5175.0,9.0,0.0,0.0,0.0,0.0,9.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-15,BERNINI,MORROW,NARCOTICS,"WC,OO,TX,EO",D,41374.0,30,0,30,INSTALLED AND USED,144.0,332.0,6.0,47832.0,2914.0,329377.0,16041.0,21.0,0.0,0.0,0.0,0.0,7.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-16,FIELDS,MORROW,NARCOTICS,"WC,OO,TX,EO",D,41383.0,30,0,30,INSTALLED AND USED,149.0,283.0,792.0,42203.0,6120.0,598858.0,317738.0,30.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-17,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41390.0,30,1,60,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-18,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41425.0,30,0,30,INSTALLED AND USED,19.0,1.0,0.0,12.0,0.0,14461.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-19,WELTY,ALLEMAN,NARCOTICS,"WC,TX",D,41439.0,30,2,90,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-20,WELTY,CROWLEY,NARCOTICS,"WC,TX",D,41466.0,30,3,120,INSTALLED AND USED,58.0,264.0,3.0,15321.0,2380.0,25412.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-21,BERNINI,MORROW,$LAUNDERING,"WC,OO,TX,EO",D,41466.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-22,GATES,CONTI,OTHER,"WC,TX",D,41533.0,30,2,90,INSTALLED AND USED,85.0,86.0,198.0,7272.0,1865.0,72399.0,7210.0,11.0,0.0,0.0,0.0,0.0,2.0,,
ARIZONA,STATE ATTORNEY GENERAL,2013-23,KREAMER,CROWLEY,FIREARMS,"WC,TX",D,41537.0,30,1,60,INSTALLED AND USED,54.0,13.0,50.0,697.0,192.0,86725.0,6725.0,12.0,0.0,0.0,0.0,0.0,10.0,,
ARIZONA,YUMA,2013-1,NELSON,BALLOS,NARCOTICS,"WC,TX",D,41338.0,30,2,90,INSTALLED AND USED,22.0,62.0,27.0,1359.0,370.0,44800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-16
ARIZONA,YUMA,2013-2,NELSON,BALLOS,NARCOTICS,"WC,TX",D,41340.0,30,0,30,INSTALLED AND USED,29.0,4.0,3.0,123.0,39.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,YUMA,2013-3,NELSON,SANDRY,$LAUNDERING,"WC,TX",D,41530.0,30,0,30,INSTALLED AND USED,91.0,79.0,30.0,7146.0,1583.0,71855.0,7620.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-1,ROLEFSON,O'MALLEY,MURDER,"WC,WS","D,H",41280.0,30,0,30,INSTALLED AND USED,10.0,7.0,3.0,72.0,3.0,57360.0,4484.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-2,ROLEFSON,O'MALLEY,MURDER,WC,D,41310.0,30,0,30,INSTALLED AND USED,30.0,5.0,14.0,140.0,47.0,21600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-3,ROLEFSON,O'MALLEY,MURDER,WC,D,41313.0,30,0,30,INSTALLED AND USED,30.0,12.0,58.0,351.0,72.0,37240.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-4,ROLEFSON,O'MALLEY,MURDER,WC,D,41316.0,30,0,30,INSTALLED AND USED,19.0,40.0,174.0,764.0,203.0,22500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-5,ROLEFSON,O'MALLEY,MURDER,WC,D,41317.0,30,0,30,INSTALLED AND USED,30.0,2.0,62.0,59.0,30.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-6,ROLEFSON,O'MALLEY,MURDER,WC,D,41325.0,30,0,30,INSTALLED AND USED,30.0,414.0,134.0,12420.0,1229.0,48000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-7,ROLEFSON,O'MALLEY,MURDER,WC,D,41333.0,30,0,30,INSTALLED AND USED,30.0,43.0,38.0,1281.0,135.0,23138.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-8,ROLEFSON,O'MALLEY,MURDER,WC,D,41339.0,30,0,30,INSTALLED AND USED,60.0,117.0,387.0,7020.0,571.0,40000.0,4000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-9,ROLEFSON,O'MALLEY,MURDER,WC,D,41449.0,30,0,30,INSTALLED AND USED,30.0,5.0,32.0,143.0,24.0,22823.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-10,ROLEFSON,O'MALLEY,MURDER,WC,D,41466.0,30,0,30,INSTALLED AND USED,17.0,131.0,159.0,2222.0,119.0,25160.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-16
CALIFORNIA,ALAMEDA,2013-11,ROLEFSON,O'MALLEY,MURDER,WC,D,41467.0,30,0,30,INSTALLED AND USED,3.0,322.0,68.0,967.0,135.0,5320.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-2
CALIFORNIA,ALAMEDA,2013-12,ROLEFSON,O'MALLEY,MURDER,WC,D,41480.0,30,0,30,INSTALLED AND USED,60.0,134.0,31.0,8067.0,1662.0,50080.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-13,ROLEFSON,O'MALLEY,MURDER,WC,D,41486.0,30,0,30,INSTALLED AND USED,3.0,0.0,NR,NR,NR,3616.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-14,ROLEFSON,O'MALLEY,MURDER,WC,D,41499.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-15,ROLEFSON,O'MALLEY,MURDER,WC,D,41502.0,30,0,30,INSTALLED AND USED,60.0,109.0,41.0,6525.0,607.0,40000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-16,ROLEFSON,O'MALLEY,MURDER,WC,D,41521.0,30,0,30,INSTALLED AND USED,30.0,10.0,27.0,285.0,162.0,43200.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-17,ROLEFSON,O'MALLEY,MURDER,WC,D,41526.0,30,0,30,INSTALLED AND USED,60.0,29.0,56.0,1723.0,550.0,42000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-18,ROLEFSON,O'MALLEY,MURDER,WC,D,41529.0,30,0,30,INSTALLED AND USED,60.0,65.0,15.0,3922.0,52.0,40000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-19,ROLEFSON,O'MALLEY,MURDER,WC,D,41531.0,30,0,30,INSTALLED AND USED,60.0,103.0,179.0,6188.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2013-20,ROLEFSON,O'MALLEY,MURDER,WC,D,41542.0,30,0,30,INSTALLED AND USED,29.0,34.0,5.0,1000.0,0.0,16876.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2013-1,LAETTNER,PETERSON,OTHER,"WC,TX",D,41428.0,30,0,30,INSTALLED AND USED,180.0,247.0,150.0,44457.0,5993.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,2.0,,
CALIFORNIA,CONTRA COSTA,2013-2,LAETTNER,MARIN,OTHER,"WC,TX",D,41444.0,30,0,30,INSTALLED AND USED,14.0,52.0,23.0,735.0,11.0,10337.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2013-3,LAETTNER,PETERSON,OTHER,"WC,TX",D,41458.0,30,0,30,INSTALLED AND USED,90.0,139.0,8104.0,12478.0,2782.0,78000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2013-4,LAETTNER,PETERSON,NARCOTICS,"WC,TX",D,41536.0,30,0,30,INSTALLED AND USED,11.0,39.0,78.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-2,
CALIFORNIA,FRESNO,2013-1,CONKLIN,WEST,NARCOTICS,"WC,TX",D,41479.0,30,0,30,INSTALLED AND USED,21.0,172.0,18.0,3609.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-10,RELATED TO NO. 2013-10
CALIFORNIA,FRESNO,2013-2,CONKLIN,WEST,NARCOTICS,"WC,TX",D,41495.0,30,0,30,INSTALLED AND USED,30.0,324.0,48.0,9720.0,4114.0,105018.0,5018.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2013-3,CONKLIN,WEST,NARCOTICS,"WC,TX",D,41516.0,30,0,30,INSTALLED AND USED,30.0,124.0,88.0,3716.0,328.0,21500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2013-4,CONKLIN,WEST,NARCOTICS,"WC,TX",D,41529.0,30,0,30,INSTALLED AND USED,58.0,44.0,121.0,2559.0,1021.0,70717.0,3600.0,10.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2013-5,CONKLIN,WEST,NARCOTICS,"WC,TX",D,41536.0,30,0,30,INSTALLED AND USED,30.0,0.0,NR,NR,NR,21400.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2013-1,LEHMAN,OTERO,NARCOTICS,WC,D,41152.0,30,3,120,INSTALLED AND USED,19.0,72.0,76.0,1365.0,156.0,37560.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2013-2,LEHMAN,OTERO,NARCOTICS,WC,D,41152.0,30,3,120,INSTALLED AND USED,30.0,46.0,96.0,1392.0,287.0,42971.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-1,ETCHEVERRY,GREEN,MURDER,WC,D,41479.0,30,0,30,INSTALLED AND USED,30.0,563.0,488.0,16896.0,1567.0,74000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-2,ETCHEVERRY,GREEN,MURDER,WC,D,41479.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-3,ETCHEVERRY,GREEN,MURDER,WC,D,41481.0,30,0,30,INSTALLED AND USED,30.0,28.0,11.0,851.0,239.0,24990.0,21150.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-4,ETCHEVERRY,GREEN,MURDER,WC,D,41481.0,30,0,30,INSTALLED AND USED,10.0,64.0,14.0,640.0,98.0,51500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-5,ETCHEVERRY,GREEN,MURDER,WC,D,41486.0,30,0,30,INSTALLED AND USED,60.0,7.0,95.0,427.0,99.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-6,BROWNLEE,GREEN,MURDER,WC,D,41516.0,30,0,30,INSTALLED AND USED,15.0,88.0,21.0,1317.0,64.0,11424.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-7,BROWNLEE,GREEN,MURDER,WC,D,41516.0,30,0,30,INSTALLED AND USED,90.0,4.0,63.0,362.0,200.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-8,BROWNLEE,GREEN,NARCOTICS,WC,D,41543.0,30,0,30,INSTALLED AND USED,30.0,1236.0,234.0,37085.0,6448.0,45000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-9,TWISSELMAN,GREEN,NARCOTICS,WC,D,41562.0,30,0,30,INSTALLED AND USED,30.0,5.0,18.0,147.0,147.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2013-10,TWISSELMAN,GREEN,NARCOTICS,WC,D,41598.0,30,0,30,INSTALLED AND USED,12.0,147.0,100.0,1767.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-1,RELATED TO NO. 2013-1
CALIFORNIA,KINGS,2013-1,TARTER,STRICKLAND,OTHER,WC,D,41569.0,30,0,30,INSTALLED AND USED,20.0,18.0,14.0,369.0,151.0,24494.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-10
CALIFORNIA,KINGS,2013-2,TARTER,STRICKLAND,OTHER,WC,D,41571.0,30,0,30,INSTALLED AND USED,10.0,29.0,27.0,292.0,56.0,15046.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-3,TARTER,STRICKLAND,OTHER,WC,D,41573.0,30,0,30,INSTALLED AND USED,18.0,320.0,15.0,5756.0,NR,89747.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-4,TARTER,STRICKLAND,OTHER,WC,D,41574.0,30,0,30,INSTALLED AND USED,30.0,118.0,38.0,3531.0,1351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-6,RELATED TO NO. 2013-6
CALIFORNIA,KINGS,2013-5,TARTER,STRICKLAND,OTHER,WC,D,41575.0,30,0,30,INSTALLED AND USED,30.0,68.0,78.0,2055.0,375.0,27500.0,2500.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-6,TARTER,STRICKLAND,OTHER,WC,D,41582.0,30,0,30,INSTALLED AND USED,5.0,26.0,3.0,129.0,44.0,128000.0,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-7,TARTER,STRICKLAND,OTHER,WC,D,41585.0,30,0,30,INSTALLED AND USED,10.0,64.0,14.0,640.0,98.0,51500.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-8,TARTER,STRICKLAND,OTHER,WC,D,41586.0,30,0,30,INSTALLED AND USED,30.0,71.0,28.0,2123.0,1982.0,43200.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-9,TARTER,STRICKLAND,OTHER,WC,D,41587.0,30,0,30,INSTALLED AND USED,11.0,12.0,1.0,132.0,29.0,128000.0,3000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-10,TARTER,STRICKLAND,OTHER,WC,D,41588.0,30,0,30,INSTALLED AND USED,4.0,5.0,8.0,21.0,0.0,7800.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-16
CALIFORNIA,KINGS,2013-11,TARTER,STRICKLAND,OTHER,WC,D,41590.0,30,0,30,INSTALLED AND USED,4.0,56.0,6.0,225.0,1.0,12670.0,3070.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-12,TARTER,STRICKLAND,OTHER,WC,D,41591.0,30,0,30,INSTALLED AND USED,3.0,12.0,4.0,37.0,0.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-13,TARTER,STRICKLAND,OTHER,WC,D,41593.0,30,0,30,INSTALLED AND USED,8.0,3.0,3.0,25.0,6.0,13148.0,2660.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-14,TARTER,STRICKLAND,OTHER,WC,D,41593.0,30,0,30,INSTALLED AND USED,30.0,0.0,NR,NR,NR,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2013-15,TARTER,STRICKLAND,OTHER,WC,D,41593.0,30,0,30,INSTALLED AND USED,5.0,92.0,8.0,458.0,1.0,7600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2013-1,FIDLER,WONG,NARCOTICS,"WC,TX","D,H",41187.0,30,2,90,INSTALLED AND USED,3.0,129.0,149.0,386.0,29.0,7800.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-9
