State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Result Related
ARIZONA,PIMA,2014-9,FIELDS,VEJAR,FRAUD,"WO,TX,EO",D,41921.0,30,1,60,INSTALLED AND USED,51.0,88.0,2.0,4504.0,2364.0,123880.0,84817.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,PIMA,2014-10,FIELDS,VEJAR,NARCOTICS,"WO,TX,EO",D,41927.0,30,2,90,INSTALLED AND USED,30.0,108.0,202.0,3231.0,426.0,499859.0,6747.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-1,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41788.0,30,0,30,INSTALLED AND USED,30.0,638.0,326.0,19149.0,1750.0,42210.0,2262.0,0.0,0.0,0.0,0.0,0.0,2.0,,
CALIFORNIA,ALAMEDA,2014-2,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41793.0,30,0,30,INSTALLED AND USED,30.0,18.0,332.0,528.0,89.0,27700.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-3,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41796.0,30,0,30,INSTALLED AND USED,30.0,3.0,9.0,86.0,26.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-4,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41796.0,30,0,30,INSTALLED AND USED,30.0,20.0,10.0,614.0,370.0,20000.0,2000.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-5,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41801.0,30,0,30,INSTALLED AND USED,30.0,100.0,94.0,3009.0,361.0,26760.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-6,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41808.0,30,0,30,INSTALLED AND USED,14.0,19.0,16.0,272.0,198.0,54712.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-9
CALIFORNIA,ALAMEDA,2014-7,ROLEFSON,O'MALLEY,MURDER,"WC,TX",D,41812.0,30,0,30,INSTALLED AND USED,5.0,1.0,2.0,6.0,1.0,800.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-8,ROLEFSON,O'MALLEY,MURDER,WC,D,41897.0,30,0,30,INSTALLED AND USED,30.0,219.0,169.0,6563.0,2390.0,23700.0,700.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-9,ROLEFSON,O'MALLEY,MURDER,WC,D,41915.0,30,0,30,INSTALLED AND USED,90.0,39.0,28.0,3513.0,1009.0,78380.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,ALAMEDA,2014-10,ROLEFSON,O'MALLEY,MURDER,WC,D,41962.0,30,0,30,INSTALLED AND USED,6.0,22.0,23.0,129.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2014-7,RELATED TO NO. 2014-7
CALIFORNIA,CONTRA COSTA,2014-1,LAETTNER,PETERSON,NARCOTICS,WC,D,41639.0,30,0,30,INSTALLED AND USED,19.0,106.0,NR,2017.0,NR,10000.0,5000.0,1.0,0.0,0.0,1.0,0.0,1.0,,
CALIFORNIA,CONTRA COSTA,2014-2,LAETTNER,PETERSON,OTHER,WC,D,41645.0,30,0,30,INSTALLED AND USED,30.0,118.0,54.0,3543.0,1533.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2014-3,LAETTNER,PETERSON,OTHER,WC,D,41809.0,30,0,30,INSTALLED AND USED,30.0,3.0,13.0,77.0,25.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2014-4,LAETTNER,PETERSON,OTHER,WC,D,41837.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2014-5,LAETTNER,PETERSON,HUMAN\SEX TRAFFICKING,WC,D,41866.0,30,0,30,INSTALLED AND USED,120.0,298.0,59.0,35720.0,7526.0,130633.0,12500.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2014-6,LAETTNER,PETERSON,NARCOTICS,WC,D,41905.0,30,0,30,INSTALLED AND USED,25.0,59.0,95.0,1484.0,282.0,72000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,EL DORADO,2014-1,WAGONER,CLARK,MURDER,"WC,EO",D,41646.0,30,0,30,INSTALLED AND USED,27.0,692.0,569.0,18681.0,1258.0,102000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,EL DORADO,2014-2,WAGONER,CLARK,MURDER,"WC,EO",D,41666.0,30,1,60,INSTALLED AND USED,30.0,1.0,NR,29.0,NR,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-1,HARRELL,EGAN,MURDER,"WC,TX",D,41618.0,30,0,30,INSTALLED AND USED,30.0,65.0,73.0,1952.0,751.0,24178.0,1284.0,6.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-2,HARRELL,KEENAN,MURDER,"WC,TX",D,41628.0,30,0,30,INSTALLED AND USED,60.0,118.0,199.0,7075.0,1706.0,70209.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-3,HOFF,EGAN,MURDER,"WC,TX",D,41635.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-4,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41865.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-5,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41872.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-6,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41873.0,30,0,30,INSTALLED AND USED,30.0,425.0,118.0,12764.0,1815.0,58037.0,3391.0,5.0,0.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,FRESNO,2014-7,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41877.0,30,0,30,INSTALLED AND USED,8.0,78.0,16.0,621.0,43.0,50000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-8,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41887.0,30,1,60,INSTALLED AND USED,30.0,27.0,93.0,821.0,220.0,1286.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-9,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41894.0,30,0,30,INSTALLED AND USED,60.0,329.0,626.0,19747.0,458.0,82500.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-10,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41912.0,30,0,30,INSTALLED AND USED,13.0,226.0,66.0,2937.0,596.0,48400.0,2400.0,3.0,0.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,FRESNO,2014-11,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41912.0,30,0,30,INSTALLED AND USED,12.0,349.0,144.0,4185.0,197.0,17200.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-1
CALIFORNIA,FRESNO,2014-12,PETERSON,KEENAN,NARCOTICS,WC,D,41912.0,30,0,30,INSTALLED AND USED,30.0,17.0,40.0,503.0,91.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-13,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41912.0,30,0,30,INSTALLED AND USED,30.0,16.0,35.0,471.0,71.0,20000.0,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-14,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41926.0,30,1,60,INSTALLED AND USED,30.0,0.0,1.0,1.0,NR,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-15,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41928.0,30,0,30,INSTALLED AND USED,60.0,78.0,25.0,4683.0,172.0,40000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-16,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41934.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-17,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41934.0,30,0,30,INSTALLED AND USED,30.0,2.0,7.0,50.0,31.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-18,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41934.0,30,0,30,INSTALLED AND USED,30.0,93.0,18.0,2795.0,1071.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-19,PETERSON,EGAN,NARCOTICS,WC,D,41934.0,30,0,30,INSTALLED AND USED,60.0,45.0,151.0,2729.0,438.0,53650.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-20,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41943.0,30,0,30,INSTALLED AND USED,30.0,3.0,4.0,87.0,3.0,9163.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-21,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41953.0,30,0,30,INSTALLED AND USED,30.0,146.0,32.0,4395.0,272.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-22,PETERSON,EGAN,NARCOTICS,"WC,TX",D,41955.0,30,0,30,INSTALLED AND USED,30.0,145.0,110.0,4353.0,203.0,43000.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-23,PETERSON,KEENAN,NARCOTICS,WC,D,41955.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2014-24,PETERSON,KEENAN,NARCOTICS,"WC,TX",D,41955.0,30,0,30,INSTALLED AND USED,139.0,28.0,83.0,3878.0,2390.0,50800.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-1,TWISSELMAN,GREEN,NARCOTICS,WC,D,41626.0,30,0,30,INSTALLED AND USED,30.0,180.0,249.0,5387.0,746.0,290000.0,15000.0,5.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-2,TWISSELMAN,GREEN,NARCOTICS,WC,D,41626.0,30,0,30,INSTALLED AND USED,30.0,51.0,48.0,1541.0,1215.0,23400.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-3,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41750.0,30,0,30,INSTALLED AND USED,30.0,12.0,12.0,362.0,25.0,12000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-4,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41799.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-5,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41828.0,30,0,30,INSTALLED AND USED,30.0,194.0,161.0,5814.0,893.0,109360.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-6,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41866.0,30,1,60,INSTALLED AND USED,17.0,38.0,23.0,648.0,251.0,66136.0,1400.0,20.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-7,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41889.0,30,0,30,INSTALLED AND USED,60.0,65.0,380.0,3915.0,576.0,3858.0,3858.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-8,BROWNLEE,SPIELMAN,NARCOTICS,"WC,TX",D,41893.0,30,0,30,INSTALLED AND USED,8.0,22.0,10.0,175.0,25.0,20000.0,2000.0,2.0,0.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,KERN,2014-9,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41899.0,30,0,30,INSTALLED AND USED,30.0,346.0,217.0,10365.0,908.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-10,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41915.0,30,0,30,INSTALLED AND USED,10.0,164.0,NR,1639.0,19.0,30000.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,KERN,2014-11,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41932.0,30,0,30,INSTALLED AND USED,30.0,15.0,58.0,442.0,106.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-12,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41933.0,30,0,30,INSTALLED AND USED,30.0,87.0,56.0,2619.0,199.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-13,BROWNLEE,GREEN,NARCOTICS,"WC,TX",D,41933.0,30,0,30,INSTALLED AND USED,28.0,13.0,3.0,374.0,25.0,69228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-14,LEWIS,GREEN,MURDER,"WC,TX",D,41949.0,30,0,30,INSTALLED AND USED,30.0,67.0,98.0,2020.0,102.0,20000.0,2000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-15,LEWIS,GREEN,MURDER,WS,H,41949.0,30,0,30,INSTALLED AND USED,30.0,258.0,22.0,7745.0,1807.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-16,LEWIS,GREEN,MURDER,"WC,TX",D,41949.0,30,0,30,INSTALLED AND USED,60.0,34.0,10.0,2058.0,229.0,107240.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-17,LEWIS,GREEN,MURDER,"WC,TX",D,41949.0,30,0,30,INSTALLED AND USED,30.0,699.0,180.0,20984.0,1824.0,28851.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-18,BROWNLEE,SPIELMAN,MURDER,"WC,TX",D,41961.0,30,0,30,INSTALLED AND USED,30.0,24.0,55.0,722.0,443.0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2014-19,BROWNLEE,SPIELMAN,MURDER,"WC,TX",D,41961.0,30,0,30,INSTALLED AND USED,30.0,35.0,30.0,1057.0,444.0,40267.0,25560.0,3.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2014-1,REINHARDT,STRICKLAND,MURDER,"WC,WS","D,H",41810.0,30,0,30,INSTALLED AND USED,30.0,1212.0,806.0,36375.0,2315.0,12500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KINGS,2014-2,TARTER,STRICKLAND,MURDER,WC,D,41927.0,30,0,30,INSTALLED AND USED,30.0,0.0,NR,7.0,NR,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-1,FIDLER,WONG,MURDER,"WC,WS","D,H",41604.0,30,0,30,INSTALLED AND USED,30.0,478.0,213.0,14332.0,1007.0,64006.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-2,FIDLER,WONG,NARCOTICS,WC,D,41617.0,30,0,30,INSTALLED AND USED,90.0,184.0,168.0,16543.0,974.0,60000.0,6000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-3,FIDLER,WONG,NARCOTICS,WC,D,41619.0,30,0,30,INSTALLED AND USED,30.0,532.0,42.0,15964.0,7329.0,130020.0,15000.0,9.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-4,FIDLER,WONG,NARCOTICS,WC,D,41641.0,30,1,60,INSTALLED AND USED,30.0,104.0,28.0,3112.0,82.0,25175.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-5,FIDLER,WONG,NARCOTICS,WC,D,41642.0,30,0,30,INSTALLED AND USED,30.0,35.0,7.0,1042.0,32.0,22000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-6,FIDLER,WONG,NARCOTICS,WC,D,41647.0,30,0,30,INSTALLED AND USED,30.0,275.0,294.0,8258.0,41.0,33500.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-7,FIDLER,WONG,NARCOTICS,WC,D,41647.0,30,0,30,INSTALLED AND USED,30.0,92.0,79.0,2769.0,885.0,26000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-8,FIDLER,WONG,NARCOTICS,WC,D,41652.0,30,0,30,INSTALLED AND USED,60.0,180.0,205.0,10813.0,582.0,65000.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-9,FIDLER,WONG,NARCOTICS,WC,D,41654.0,30,0,30,INSTALLED AND USED,30.0,165.0,1.0,4941.0,63.0,7700.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-10,FIDLER,WONG,NARCOTICS,"WC,TX,EE",D,41654.0,30,1,60,INSTALLED AND USED,28.0,355.0,334.0,9944.0,508.0,45000.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-11,FIDLER,WONG,NARCOTICS,WC,D,41654.0,30,0,30,INSTALLED AND USED,30.0,332.0,257.0,9967.0,440.0,81200.0,3200.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-12,FIDLER,WONG,NARCOTICS,WC,D,41660.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-13,FIDLER,WONG,NARCOTICS,WC,D,41662.0,30,0,30,INSTALLED AND USED,30.0,47.0,38.0,1402.0,201.0,24000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-14,FIDLER,WONG,NARCOTICS,WC,D,41666.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-15,FIDLER,WONG,NARCOTICS,WC,D,41668.0,30,0,30,INSTALLED AND USED,30.0,35.0,50.0,1054.0,190.0,53049.0,1929.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-16,FIDLER,WONG,NARCOTICS,WC,D,41668.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-17,FIDLER,WONG,NARCOTICS,WC,D,41670.0,30,0,30,INSTALLED AND USED,90.0,66.0,2990.0,5973.0,4380.0,110400.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2014-18,FIDLER,WONG,NARCOTICS,"WC,TX,EE",D,41675.0,30,0,30,INSTALLED AND USED,90.0,44.0,89.0,3978.0,65.0,60000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
