Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost ($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, SOUTHERN",2013-6,GRANADE,O'BRIEN,NARCOTICS,"WC,TX",D,41403.0,30,1,60,INSTALLED AND USED,150.0,178.0,12.0,26743.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-86,RELATED TO NO. 2011-86
"ALABAMA, SOUTHERN",2013-7,GRANADE,O'BRIEN,NARCOTICS,WC,D,41403.0,30,0,30,INSTALLED AND USED,60.0,82.0,85.0,4890.0,3731.0,182122.0,9800.0,2.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-8,GRANADE,BLANCO,NARCOTICS,WC,D,41429.0,30,0,30,INSTALLED AND USED,98.0,84.0,56.0,8207.0,1067.0,88152.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-105
"ALABAMA, SOUTHERN",2013-9,GRANADE,BLANCO,NARCOTICS,WC,D,41429.0,30,1,60,INSTALLED AND USED,117.0,135.0,96.0,15764.0,1449.0,157805.0,2825.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-10,GRANADE,BLANCO,NARCOTICS,WC,D,41429.0,30,0,30,INSTALLED AND USED,29.0,143.0,143.0,4149.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2012-99,RELATED TO NO. 2012-99
"ALABAMA, SOUTHERN",2013-11,STEELE,O'BRIEN,NARCOTICS,WC,D,41438.0,30,0,30,INSTALLED AND USED,30.0,27.0,22.0,806.0,124.0,24647.0,3700.0,4.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-12,STEELE,O'BRIEN,NARCOTICS,WC,D,41438.0,30,0,30,INSTALLED AND USED,60.0,40.0,44.0,2422.0,702.0,44464.0,2570.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-13,STEELE,O'BRIEN,NARCOTICS,WC,D,41438.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-14,STEELE,O'BRIEN,NARCOTICS,WC,R,41453.0,30,0,30,INSTALLED AND USED,30.0,122.0,26.0,3655.0,91.0,38546.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-15,STEELE,O'BRIEN,NARCOTICS,WC,D,41453.0,30,0,30,INSTALLED AND USED,13.0,12.0,20.0,158.0,63.0,28500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-16,STEELE,O'BRIEN,NARCOTICS,WC,D,41453.0,30,0,30,INSTALLED AND USED,29.0,12.0,20.0,359.0,169.0,23095.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-17,DUBOSE,O'BRIEN,NARCOTICS,WC,R,41470.0,30,1,60,INSTALLED AND USED,30.0,60.0,129.0,1813.0,244.0,22036.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-18,DUBOSE,BITKOWER,NARCOTICS,WC,D,41470.0,30,0,30,INSTALLED AND USED,30.0,98.0,105.0,2940.0,743.0,53517.0,2570.0,11.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-19,DUBOSE,O'BRIEN,NARCOTICS,WC,D,41521.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALASKA,2013-1,BEISTLINE,BLANCO,NARCOTICS,"WC,TX",D,41395.0,30,1,60,INSTALLED AND USED,29.0,51.0,4.0,1476.0,732.0,46709.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-76
ALASKA,2013-2,BEISTLINE,BLANCO,NARCOTICS,"WC,TX,OO",D,41395.0,30,1,60,INSTALLED AND USED,60.0,66.0,230.0,3951.0,723.0,82600.0,2600.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALASKA,2013-3,SEDWICK,BLANCO,NARCOTICS,"WC,TX",D,41424.0,30,0,30,INSTALLED AND USED,30.0,203.0,48.0,6103.0,123.0,24300.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2011-86
ALASKA,2013-4,SEDWICK,BLANCO,NARCOTICS,"WC,TX,OO",D,41424.0,30,0,30,INSTALLED AND USED,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2009-25,TEILBORG,GRINDLER,NARCOTICS,WC,D,39983.0,30,2,90,INSTALLED AND USED,30.0,118.0,238.0,3544.0,325.0,42840.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-80
ARIZONA,2009-26,CAMPBELL,KEENEY,NARCOTICS,WC,D,40011.0,30,1,60,INSTALLED AND USED,87.0,119.0,43.0,10390.0,3100.0,74070.0,7150.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-88
ARIZONA,2010-47,ROLL,KEENEY,NARCOTICS,WC,D,40373.0,30,0,30,INSTALLED AND USED,30.0,20.0,46.0,587.0,201.0,21000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2010-48,TEILBORG,BLANCO,NARCOTICS,WC,D,40420.0,30,1,60,INSTALLED AND USED,60.0,46.0,77.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-33,ROLL,BLANCO,NARCOTICS,WC,D,40505.0,30,1,60,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-34,ZAPATA,WEINSTEIN,NARCOTICS,WC,D,40576.0,30,0,30,INSTALLED AND USED,90.0,14.0,35.0,1261.0,325.0,77395.0,5755.0,10.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-35,ZAPATA,WEINSTEIN,NARCOTICS,WC,D,40590.0,30,0,30,INSTALLED AND USED,60.0,8.0,26.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-36,ZAPATA,BROWN,NARCOTICS,WC,D,40638.0,30,1,60,INSTALLED AND USED,29.0,71.0,115.0,2065.0,223.0,73300.0,3300.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-88
ARIZONA,2011-37,ZAPATA,BROWN,NARCOTICS,WC,D,40658.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,5000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-94
ARIZONA,2011-38,ZAPATA,BLANCO,NARCOTICS,WC,D,40672.0,30,1,60,INSTALLED AND USED,29.0,62.0,54.0,1807.0,60.0,41740.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-39,ZAPATA,BLANCO,NARCOTICS,WC,D,40679.0,30,0,30,INSTALLED NOT USED,0.0,0.0,0.0,0.0,0.0,20915.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-78,SNOW,BLANCO,NARCOTICS,WC,D,40954.0,30,2,90,INSTALLED AND USED,42.0,49.0,17.0,2050.0,89.0,3000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-79,SNOW,BROWN,NARCOTICS,WC,D,41012.0,30,2,90,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-80,SNOW,BROWN,NARCOTICS,WC,D,41079.0,30,1,60,INSTALLED AND USED,30.0,13.0,38.0,387.0,81.0,21000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-81,SNOW,BROWN,NARCOTICS,WC,D,41079.0,30,1,60,INSTALLED AND USED,30.0,2.0,15.0,58.0,46.0,38000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-82,SNOW,BURETTA,NARCOTICS,WC,D,41079.0,30,1,60,INSTALLED AND USED,120.0,33.0,32.0,3918.0,1197.0,80140.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-83,SNOW,BURETTA,NARCOTICS,WC,D,41108.0,30,0,30,INSTALLED AND USED,60.0,345.0,68.0,20679.0,2911.0,64307.0,2100.0,3.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-1,MARTONE,BURETTA,NARCOTICS,WC,D,41199.0,30,2,90,INSTALLED AND USED,30.0,11.0,35.0,334.0,75.0,22247.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-2,SNOW,HULSER,NARCOTICS,"WC,TX",D,41221.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-3,SNOW,HULSER,NARCOTICS,"WC,TX",D,41221.0,30,1,60,INSTALLED AND USED,89.0,48.0,297.0,4290.0,214.0,72348.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-4,CAMPBELL,BLANCO,NARCOTICS,WC,D,41249.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-5,SILVER,BLANCO,NARCOTICS,"WC,TX",D,41254.0,30,1,60,INSTALLED AND USED,30.0,10.0,46.0,290.0,84.0,7325.0,3400.0,2.0,0.0,0.0,0.0,0.0,2.0,,
ARIZONA,2013-6,SILVER,BLANCO,NARCOTICS,"WC,TX",D,41254.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-7,CAMPBELL,BLANCO,NARCOTICS,WC,D,41305.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-8,SILVER,BURETTA,NARCOTICS,WC,D,41313.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-9,SILVER,BURETTA,NARCOTICS,WC,D,41313.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-10,BURY,BITKOWER,NARCOTICS,WO,D,41317.0,30,5,180,INSTALLED AND USED,30.0,422.0,68.0,12649.0,2515.0,43550.0,4750.0,3.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-11,SILVER,BLANCO,NARCOTICS,WC,D,41352.0,30,2,90,INSTALLED AND USED,29.0,2.0,11.0,51.0,23.0,22000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-12,SILVER,BLANCO,NARCOTICS,WC,D,41352.0,30,0,30,INSTALLED AND USED,29.0,55.0,104.0,1581.0,381.0,22347.0,2600.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-13,CAMPBELL,O'BRIEN,NARCOTICS,WC,D,41354.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-14,CAMPBELL,O'BRIEN,NARCOTICS,WC,D,41354.0,30,0,30,INSTALLED AND USED,60.0,68.0,105.0,4055.0,146.0,84086.0,4125.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-15,BURY,O'BRIEN,NARCOTICS,WO,D,41358.0,30,3,120,INSTALLED AND USED,29.0,27.0,15.0,778.0,0.0,66022.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-16,BURY,BITKOWER,NARCOTICS,WO,D,41375.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-17,BURY,BITKOWER,NARCOTICS,WO,D,41375.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-18,BURY,BITKOWER,NARCOTICS,WO,D,41375.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-19,SNOW,O'BRIEN,NARCOTICS,WC,D,41388.0,30,1,60,INSTALLED AND USED,60.0,27.0,45.0,1649.0,864.0,74767.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-20,SILVER,BLANCO,NARCOTICS,WC,D,41388.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-21,ZAPATA,BLANCO,NARCOTICS,WO,D,41388.0,30,0,30,INSTALLED AND USED,30.0,395.0,271.0,11851.0,2533.0,27435.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-22,ZAPATA,BLANCO,NARCOTICS,WO,D,41388.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-23,SILVER,BLANCO,NARCOTICS,WC,D,41389.0,30,1,60,INSTALLED AND USED,30.0,14.0,40.0,421.0,63.0,22377.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-24,SILVER,BLANCO,NARCOTICS,WC,D,41402.0,30,0,30,INSTALLED AND USED,30.0,36.0,87.0,1094.0,11.0,23022.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-25,SILVER,BLANCO,NARCOTICS,WC,D,41402.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-26,BURY,O'BRIEN,NARCOTICS,WO,D,41403.0,30,0,30,INSTALLED AND USED,29.0,147.0,45.0,4271.0,54.0,37218.0,1200.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-27,BURY,BITKOWER,NARCOTICS,WO,D,41403.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-28,BURY,O'BRIEN,NARCOTICS,WO,D,41403.0,30,0,30,INSTALLED AND USED,30.0,78.0,60.0,2346.0,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-19,
ARIZONA,2013-29,BURY,O'BRIEN,NARCOTICS,WO,D,41403.0,30,0,30,INSTALLED AND USED,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-19,
ARIZONA,2013-30,WAKE,O'BRIEN,NARCOTICS,WC,D,41411.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-31,BURY,O'BRIEN,NARCOTICS,WO,D,41417.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-32,BURY,O'BRIEN,NARCOTICS,WO,D,41417.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-33,BURY,O'BRIEN,NARCOTICS,WO,D,41417.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
