country,continent,gdp_per_capita,life_expectancy,population
Japan,Asia,28559,81.35,125.72031
Jordan,Asia,3664,71.724,4.827096
Kazakhstan,Asia,5366,63.513,14.956694
Kenya,Africa,1318,52.864,31.253701
Kiribati,Oceania,3501,64.642,0.08401
"Korea, Dem. Rep.",Asia,1689,65.271,22.894095
"Korea, Rep.",Asia,16995,76.114,45.987624
Kuwait,Asia,36397,73.133,1.940786
Kyrgyzstan,Asia,1527,66.232,4.95485
Laos,Asia,1518,61.689,5.31706
Latvia,Europe,8649,70.16,2.384972
Lebanon,Asia,5795,74.409,3.742329
Lesotho,Africa,1186,47.265,1.963878
Liberia,Africa,519,52.424,2.84729
Libya,Africa,9139,71.872,5.231189
Lithuania,Europe,9631,72.18,3.500028
Luxembourg,Europe,63924,77.82,0.435491
"Macao, China",Asia,22512,77.627,0.431867
"Macedonia, FYR",Europe,6975,73.244,2.009091
Madagascar,Africa,1027,58.485,15.364272
Malawi,Africa,713,46.04,11.228756
Malaysia,Asia,10161,72.81,23.414909
Maldives,Asia,3433,69.279,0.273236
Mali,Africa,854,49.061,11.295324
Malta,Europe,20276,77.364,0.39742
Mauritania,Africa,1540,59.729,2.642743
Mauritius,Africa,8290,71.202,1.196027
Mexico,N. America,10894,74.38,99.959594
"Micronesia, Fed. Sts.",Oceania,5530,67.3,0.107103
Moldova,Europe,1692,67.007,4.106736
Mongolia,Asia,2017,62.876,2.411369
Montenegro,Europe,6185,74.125,0.632606
Morocco,Africa,3073,68.22,28.793236
Mozambique,Africa,542,47.472,18.200656
Myanmar,Asia,1034,62.073,44.95766
Namibia,Africa,4022,55.173,1.895839
Nepal,Asia,1054,62.055,24.400606
Netherlands,Europe,33000,78.24,15.862825
New Zealand,Oceania,21895,78.9,3.858032
Nicaragua,N. America,2490,69.682,5.073704
Niger,Africa,577,50.692,10.922421
Nigeria,Africa,1619,46.629,123.688536
Norway,Europe,43174,78.76,4.490859
Oman,Asia,19204,72.139,2.264163
Pakistan,Asia,2086,63.854,144.522192
Panama,N. America,7405,75.094,2.956126
Papua New Guinea,Oceania,1821,58.749,5.378824
Paraguay,S. America,3907,70.073,5.343539
Peru,S. America,5791,70.506,25.861887
Philippines,Asia,2598,66.774,77.309965
Poland,Europe,11680,73.91,38.302444
Portugal,Europe,19609,76.84,10.336209
Qatar,Asia,60394,76.68,0.590957
Romania,Europe,7089,70.47,22.191683
Russia,Asia,8570,65.38,146.757517
Rwanda,Africa,704,47.6425,8.098344
Saint Lucia,N. America,8676,71.456,0.157108
Saint Vincent and the Grenadines,N. America,5893,70.6,0.107891
Samoa,Oceania,4090,69.344,0.176549
Sao Tome and Principe,Africa,1320,63.336,0.14101
Saudi Arabia,Asia,20001,72.401,20.045276
Senegal,Africa,1511,57.817,9.505862
Serbia,Europe,6607,72.072,10.133561
Seychelles,Africa,15230,71.771,0.078685
Sierra Leone,Africa,517,38.123,4.143115
Singapore,Asia,36834,78.34,3.9193
Slovak Republic,Europe,12689,73.19,5.404845
Slovenia,Europe,19399,76.11,1.985406
Solomon Islands,Oceania,1802,62.808,0.408732
Somalia,Africa,881,50.902,7.399033
South Africa,Africa,7454,55.892,44.76038
South Sudan,Africa,1883,49.248,6.994624
Spain,Europe,23410,79.34,40.288457
Sri Lanka,Asia,2997,71.078,18.745084
Sudan,Africa,1874,57.979,27.193105
Suriname,S. America,5677,67.851,0.466846
Swaziland,Africa,4021,48.689,1.063832
Sweden,Europe,28640,79.84,8.860153
Switzerland,Europe,34386,79.99,7.167908
Syria,Asia,3935,73.316,15.988534
Taiwan,Asia,23525,76.02,22.183
Tajikistan,Asia,1001,63.57,6.172807
Tanzania,Africa,826,50.01,34.038161
Thailand,Asia,5578,70.921,63.155029
Timor-Leste,Asia,2743,59.468,0.830089
Togo,Africa,890,53.585,4.793504
Tonga,Oceania,4886,70.81,0.097935
Trinidad and Tobago,N. America,10496,68.533,1.292058
Tunisia,Africa,5480,73.159,9.456117
Turkey,Asia,6803,70.01,63.627862
Turkmenistan,Asia,3289,63.925,4.501419
Uganda,Africa,881,48.126,24.21312
Ukraine,Europe,3700,67.79,48.891792
United Arab Emirates,Asia,30012,74.163,3.033491
United Kingdom,Europe,28644,78.04,58.874117
United States,N. America,39758,76.8,282.49631
Uruguay,S. America,9092,74.777,3.319066
Uzbekistan,Asia,1635,66.999,24.77561
Vanuatu,Oceania,3762,67.438,0.185074
Venezuela,S. America,9434,72.432,24.348304
Vietnam,Asia,1577,73.777,78.75801
West Bank and Gaza,Asia,7586,70.929,3.19856
"Yemen, Rep.",Asia,2217,60.404,17.723186
Zambia,Africa,1035,41.802,10.201562
Zimbabwe,Africa,745,43.976,12.509477
