Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating  Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related,,
ARIZONA,2012-79,SILVER,HULSER,NARCOTICS,WC,D,41220.0,30,0,30,INSTALLED AND USED,28.0,8.0,21.0,216.0,32.0,16301.0,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-97,2012,79
ARIZONA,2013-97,MARTONE,HULSER,NARCOTICS,"WC,TX",D,41249.0,30,1,60,INSTALLED AND USED,57.0,179.0,160.0,10194.0,321.0,38062.0,1346.0,2.0,0.0,0.0,0.0,0.0,0.0,,,2013,97
ARIZONA,2013-98,WAKE,BLANCO,NARCOTICS,"TX,WC",D,41466.0,30,1,60,INSTALLED AND USED,58.0,141.0,172.0,8175.0,2610.0,56701.0,3675.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,98
ARIZONA,2013-99,WAKE,O'BRIEN,NARCOTICS,WC,D,41494.0,30,0,30,INSTALLED AND USED,11.0,126.0,35.0,1385.0,299.0,13377.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,99
ARIZONA,2013-100,SNOW,BLANCO,NARCOTICS,WC,D,41514.0,30,0,30,INSTALLED AND USED,14.0,90.0,48.0,1259.0,31.0,12928.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,100
ARIZONA,2013-101,WAKE,BLANCO,NARCOTICS,"WC,TX",D,41535.0,30,0,30,INSTALLED AND USED,30.0,31.0,37.0,941.0,86.0,23230.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,101
ARIZONA,2013-102,CAMPBELL,BLANCO,NARCOTICS,"WC,TX",D,41563.0,30,0,30,INSTALLED AND USED,12.0,28.0,10.0,332.0,18.0,60677.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,102
ARIZONA,2013-103,ZAPATA,BLANCO,NARCOTICS,WO,D,41593.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2013,103
ARIZONA,2014-1,BURY,O'BRIEN,NARCOTICS,WO,D,41571.0,30,2,90,INSTALLED AND USED,88.0,176.0,300.0,15529.0,15528.0,258805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,1
ARIZONA,2014-2,CAMPBELL,BLANCO,NARCOTICS,"WC,TX",D,41604.0,30,1,60,INSTALLED AND USED,50.0,199.0,30.0,9950.0,1566.0,27820.0,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2014,2
ARIZONA,2014-3,BOLTON,BLANCO,NARCOTICS,"WC,TX",D,41627.0,30,4,150,INSTALLED AND USED,150.0,23.0,80.0,3516.0,889.0,89180.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-26,2014,3
ARIZONA,2014-4,BOLTON,O'BRIEN,NARCOTICS,EO,D,41631.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,4
ARIZONA,2014-5,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,5
ARIZONA,2014-6,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,6
ARIZONA,2014-7,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,7
ARIZONA,2014-8,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,8
ARIZONA,2014-9,BURY,O'BRIEN,NARCOTICS,WC,D,41647.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,9
ARIZONA,2014-10,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,10
ARIZONA,2014-11,BURY,O'BRIEN,NARCOTICS,WO,D,41647.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,11
ARIZONA,2014-12,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41655.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,12
ARIZONA,2014-13,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41655.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,13
ARIZONA,2014-14,CAMPBELL,O'BRIEN,NARCOTICS,"TX,WC",D,41669.0,30,0,30,INSTALLED AND USED,17.0,0.0,NR,2.0,NR,30745.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-2,2014,14
ARIZONA,2014-15,BOLTON,O'BRIEN,NARCOTICS,EO,D,41673.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,15
ARIZONA,2014-16,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,16
ARIZONA,2014-17,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,17
ARIZONA,2014-18,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,18
ARIZONA,2014-19,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,19
ARIZONA,2014-20,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,20
ARIZONA,2014-21,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,21
ARIZONA,2014-22,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,22
ARIZONA,2014-23,BURY,O'BRIEN,NARCOTICS,WC,D,41675.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,23
ARIZONA,2014-24,BURY,O'BRIEN,NARCOTICS,WO,D,41675.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,24
ARIZONA,2014-25,ZAPATA,BLANCO,NARCOTICS,WO,"D,R",41675.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,25
ARIZONA,2014-26,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41682.0,30,0,30,INSTALLED AND USED,30.0,52.0,42.0,1546.0,176.0,85133.0,6310.0,15.0,0.0,0.0,0.0,0.0,0.0,,,2014,26
ARIZONA,2014-27,LOGAN,O'BRIEN,NARCOTICS,WC,D,41683.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,27
ARIZONA,2014-28,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41683.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,28
ARIZONA,2014-29,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41683.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,29
ARIZONA,2014-30,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41683.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,30
ARIZONA,2014-31,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41683.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,31
ARIZONA,2014-32,SNOW,BLANCO,POSSESSION,WC,D,41683.0,30,0,30,INSTALLED AND USED,4.0,42.0,18.0,167.0,61.0,16096.0,585.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2014,32
ARIZONA,2014-33,TUCHI,O'BRIEN,NARCOTICS,WC,D,41687.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,33
ARIZONA,2014-34,BOLTON,O'BRIEN,NARCOTICS,EO,D,41709.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,34
ARIZONA,2014-35,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41712.0,30,1,60,INSTALLED AND USED,58.0,124.0,91.0,7203.0,1431.0,51433.0,6328.0,17.0,0.0,0.0,0.0,0.0,0.0,,,2014,35
ARIZONA,2014-36,BOLTON,O'BRIEN,NARCOTICS,"WC,EO",D,41712.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,36
ARIZONA,2014-37,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41712.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,37
ARIZONA,2014-38,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41712.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,38
ARIZONA,2014-39,JORGENSON,O'BRIEN,NARCOTICS,TX,D,41733.0,30,2,90,INSTALLED AND USED,90.0,75.0,22.0,6789.0,2374.0,70069.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,39
ARIZONA,2014-40,BURY,O'BRIEN,NARCOTICS,WO,D,41736.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,40
ARIZONA,2014-41,BURY,O'BRIEN,NARCOTICS,WO,D,41736.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,41
ARIZONA,2014-42,ZAPATA,BLANCO,NARCOTICS,EO,D,41736.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,42
ARIZONA,2014-43,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41736.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,43
ARIZONA,2014-44,BOLTON,BLANCO,NARCOTICS,EO,D,41739.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,44
ARIZONA,2014-45,ZAPATA,O'BRIEN,FRAUD,EO,D,41739.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,45
ARIZONA,2014-46,BOLTON,BLANCO,NARCOTICS,"WC,TX",D,41740.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,46
ARIZONA,2014-47,BOLTON,BLANCO,NARCOTICS,"WC,TX",D,41740.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,47
ARIZONA,2014-48,BURY,BITKOWER,NARCOTICS,"TX,WC",D,41744.0,30,1,60,INSTALLED AND USED,41.0,35.0,28.0,1451.0,186.0,27399.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,48
ARIZONA,2014-49,BOLTON,O'BRIEN,NARCOTICS,"WC,EO",D,41752.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,49
ARIZONA,2014-50,BURY,O'BRIEN,NARCOTICS,"WC,TX",D,41753.0,30,1,60,INSTALLED AND USED,60.0,119.0,64.0,7118.0,372.0,49273.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-59,2014,50
ARIZONA,2014-51,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41754.0,30,2,90,INSTALLED AND USED,90.0,153.0,98.0,13795.0,5408.0,12651.0,1500.0,1.0,0.0,0.0,0.0,0.0,1.0,,,2014,51
ARIZONA,2014-52,ZAPATA,O'BRIEN,$LAUNDERING,TX,D,41757.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,52
ARIZONA,2014-53,ZAPATA,BLANCO,NARCOTICS,WO,D,41765.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,53
ARIZONA,2014-54,BOLTON,BLANCO,NARCOTICS,"WC,TX",D,41768.0,30,0,30,INSTALLED AND USED,22.0,14.0,23.0,303.0,120.0,22468.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-35,2014,54
ARIZONA,2014-55,BOLTON,O'BRIEN,NARCOTICS,"WC,TX",D,41771.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,55
ARIZONA,2014-56,BOLTON,BLANCO,NARCOTICS,"WC,TX",D,41771.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,56
ARIZONA,2014-57,ZAPATA,O'BRIEN,NARCOTICS,"WC,TX",D,41774.0,30,1,60,INSTALLED AND USED,37.0,150.0,6.0,5540.0,5419.0,23298.0,1503.0,7.0,0.0,0.0,0.0,0.0,0.0,,,2014,57
ARIZONA,2014-58,ZAPATA,O'BRIEN,NARCOTICS,"TX,WC",D,41775.0,30,0,30,INSTALLED AND USED,8.0,8.0,7.0,62.0,62.0,23670.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,58
ARIZONA,2014-59,BURY,O'BRIEN,NARCOTICS,"TX,WC",D,41779.0,30,0,30,INSTALLED AND USED,30.0,37.0,43.0,1096.0,208.0,39260.0,2000.0,7.0,0.0,0.0,0.0,0.0,0.0,,,2014,59
ARIZONA,2014-60,WAKE,BLANCO,NARCOTICS,WC,D,41782.0,30,0,30,INSTALLED AND USED,24.0,45.0,23.0,1084.0,354.0,18436.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,60
ARIZONA,2014-61,ZAPATA,BLANCO,NARCOTICS,EO,D,41786.0,30,0,30,INSTALLED AND USED,30.0,556.0,40.0,16669.0,2278.0,12478.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2014,61
