"Wiretap Table 3—Major Offenses for Which Court-Authorized Intercepts Were Granted Pursuant to 18 U.S.C. § 2519 
January 1 Through December 31, 2018",,,,,,,,,,
NEW YORK SOUTHERN,88,8,1,1,-,-,-,38,5,35
NORTH CAROLINA  MIDDLE,2,-,-,-,-,-,-,-,-,2
NORTH CAROLINA EASTERN,7,2,-,-,-,-,-,4,-,1
NORTH CAROLINA WESTERN,19,-,-,-,-,-,-,15,-,4
OHIO NORTHERN,29,5,7,-,-,-,-,17,-,-
OHIO SOUTHERN,4,2,-,-,-,-,-,2,-,-
OKLAHOMA EASTERN,2,1,-,-,-,-,-,1,-,-
OKLAHOMA NORTHERN,5,4,-,-,-,-,-,1,-,-
OKLAHOMA WESTERN,30,22,-,-,-,-,-,8,-,-
OREGON,22,8,-,-,-,-,-,9,-,5
PENNSYLVANIA EASTERN,7,-,-,-,-,-,-,7,-,-
PENNSYLVANIA MIDDLE,1,-,-,-,-,-,-,-,-,1
PENNSYLVANIA WESTERN,9,7,-,-,-,-,-,-,-,2
PUERTO RICO,11,-,2,-,-,-,-,2,-,7
SOUTH CAROLINA,22,4,-,-,-,-,-,8,-,10
TENNESSEE  MIDDLE,11,8,-,-,-,-,-,3,-,-
TENNESSEE EASTERN,3,-,-,-,-,-,-,-,-,3
TENNESSEE WESTERN,22,1,-,-,-,-,-,10,-,11
TEXAS EASTERN,40,1,-,-,-,-,-,7,-,32
TEXAS NORTHERN,8,3,-,-,-,-,1,-,-,4
TEXAS SOUTHERN,44,26,1,-,-,-,-,4,-,13
TEXAS WESTERN,41,18,-,-,1,-,-,8,4,10
UTAH,24,1,-,-,-,-,-,10,-,13
VERMONT,11,-,-,-,-,-,-,2,-,9
VIRGINIA EASTERN,8,-,-,-,-,-,-,6,-,2
WASHINGTON  WESTERN,14,14,-,-,-,-,-,-,-,-
WEST VIRGINIA NORTHERN,10,1,-,-,-,-,-,8,-,1
WEST VIRGINIA SOUTHERN,6,-,-,-,-,-,-,3,-,3
WISCONSIN  EASTERN,2,-,-,-,-,-,-,2,-,-
WYOMING,1,-,-,-,-,-,-,1,-,-
ALASKA,2,-,-,-,2,-,-,-,-,-
STATE OF ALASKA - THIRD JUDICIAL DISTRICT (ANCHORAGE),2,-,-,-,2,-,-,-,-,-
ARIZONA,6,1,-,-,-,-,-,-,-,5
MARICOPA,6,1,-,-,-,-,-,-,-,5
CALIFORNIA,349,-,-,-,82,-,-,232,-,35
ALAMEDA,11,-,-,-,11,-,-,-,-,-
CONTRA COSTA,20,-,-,-,13,-,-,-,-,7
FRESNO,8,-,-,-,1,-,-,-,-,7
KERN,11,-,-,-,-,-,-,1,-,10
LAKE,1,-,-,-,-,-,-,1,-,-
LOS ANGELES,159,-,-,-,13,-,-,145,-,1
NAPA,1,-,-,-,1,-,-,-,-,-
ORANGE,16,-,-,-,7,-,-,6,-,3
RIVERSIDE,51,-,-,-,10,-,-,39,-,2
SACRAMENTO,3,-,-,-,3,-,-,-,-,-
SAN BERNARDINO,21,-,-,-,2,-,-,17,-,2
SAN DIEGO,8,-,-,-,-,-,-,8,-,-
SAN JOAQUIN,9,-,-,-,9,-,-,-,-,-
SAN LUIS OBISPO,2,-,-,-,2,-,-,-,-,-
SANTA CLARA,5,-,-,-,1,-,-,4,-,-
SOLANO,3,-,-,-,3,-,-,-,-,-
STANISLAUS,9,-,-,-,5,-,-,4,-,-
VENTURA,11,-,-,-,1,-,-,7,-,3
COLORADO,105,28,-,-,-,-,-,4,-,73
10TH JUDICIAL DISTRICT (PUEBLO),3,-,-,-,-,-,-,3,-,-
17TH JUDICIAL DISTRICT (ADAMS),21,-,-,-,-,-,-,-,-,21
18TH JUDICIAL DISTRICT (ARAPAHOE),3,-,-,-,-,-,-,-,-,3
19TH JUDICIAL DISTRICT (WELD),4,-,-,-,-,-,-,-,-,4
2ND JUDICIAL DISTRICT (DENVER),64,28,-,-,-,-,-,-,-,36
4TH JUDICIAL DISTRICT (EL PASO),1,-,-,-,-,-,-,1,-,-
8TH JUDICIAL DISTRICT (JACKSON/LARIMER),9,-,-,-,-,-,-,-,-,9
CONNECTICUT,1,-,-,-,-,-,-,1,-,-
NEW BRITAIN,1,-,-,-,-,-,-,1,-,-
FLORIDA,67,15,-,-,-,-,-,14,15,23
10TH JUDICIAL CIRCUIT (POLK),1,-,-,-,-,-,-,1,-,-
12TH JUDICIAL CIRCUIT (SARASOTA),2,-,-,-,-,-,-,2,-,-
17TH JUDICIAL CIRCUIT (BROWARD),7,-,-,-,-,-,-,-,5,2
18TH JUDICIAL CIRCUIT (BREVARD/SEMINOLE),8,1,-,-,-,-,-,-,7,-
1ST JUDICIAL CIRCUIT (ESCAMBRIA),2,-,-,-,-,-,-,-,-,2
20TH JUDICIAL CIRCUIT (LEE),1,1,-,-,-,-,-,-,-,-
4TH JUDICIAL CIRCUIT (DUVAL),13,13,-,-,-,-,-,-,-,-
5TH JUDICIAL CIRCUIT (LAKE/MARION),2,-,-,-,-,-,-,-,2,-
7TH JUDICIAL CIRCUIT (VOLUSIA),12,-,-,-,-,-,-,2,-,10
8TH JUDICIAL CIRCUIT (ALACHUA),1,-,-,-,-,-,-,-,1,-
9TH JUDICIAL CIRCUIT (ORANGE/OSCEOLA),18,-,-,-,-,-,-,9,-,9
GEORGIA,23,-,-,-,1,-,-,2,1,19
AUGUSTA,1,-,-,-,-,-,-,-,-,1
DEKALB,2,-,-,-,-,-,-,2,-,-
FLINT,1,-,-,-,1,-,-,-,-,-
GWINNETT,2,-,-,-,-,-,-,-,-,2
HOUSTON,14,-,-,-,-,-,-,-,-,14
JACKSON,1,-,-,-,-,-,-,-,1,-
MACON,2,-,-,-,-,-,-,-,-,2
HAWAII,6,-,-,-,-,-,-,-,-,6
MAUI,6,-,-,-,-,-,-,-,-,6
ILLINOIS,4,-,-,-,1,-,-,-,-,3
JOHNSON,2,-,-,-,-,-,-,-,-,2
PEORIA,1,-,-,-,1,-,-,-,-,-
THIRTEENTH JUDICIAL CIRCUIT,1,-,-,-,-,-,-,-,-,1
INDIANA,5,-,-,-,-,-,-,-,-,5
MONROE,3,-,-,-,-,-,-,-,-,3
SULLIVAN SUPERIOR,2,-,-,-,-,-,-,-,-,2
KANSAS,1,-,-,-,-,-,-,-,-,1
SEDGWICK,1,-,-,-,-,-,-,-,-,1
MARYLAND,27,-,-,-,1,-,-,1,-,25
BALTIMORE,8,-,-,-,-,-,-,1,-,7
CIRCUIT COURT FOR TALBOT COUNTY,1,-,-,-,-,-,-,-,-,1
HARFORD,3,-,-,-,-,-,-,-,-,3
WASHINGTON,14,-,-,-,-,-,-,-,-,14
WICOMICO,1,-,-,-,1,-,-,-,-,-
MASSACHUSETTS,6,1,-,-,-,-,-,1,-,4
ESSEX,4,-,-,-,-,-,-,-,-,4
HAMPDEN,2,1,-,-,-,-,-,1,-,-
NEVADA,215,-,-,-,3,-,-,210,-,2
CLARK,215,-,-,-,3,-,-,210,-,2
NEW JERSEY,87,1,-,-,8,-,-,33,9,36
ATLANTIC,8,-,-,-,-,-,-,3,-,5
BERGEN,6,-,-,-,-,-,-,-,-,6
CAMDEN,15,-,-,-,4,-,-,11,-,-
CUMBERLAND,1,-,-,-,1,-,-,-,-,-
ESSEX,1,-,-,-,-,-,-,1,-,-
HUDSON,16,-,-,-,-,-,-,13,-,3
MIDDLESEX,8,-,-,-,-,-,-,3,-,5
MONMOUTH,4,-,-,-,-,-,-,2,-,2
MORRIS,1,-,-,-,-,-,-,-,-,1
OCEAN,8,-,-,-,-,-,-,-,8,-
SALEM,3,-,-,-,3,-,-,-,-,-
SOMERSET,16,1,-,-,-,-,-,-,1,14
NEW YORK,324,28,-,9,-,-,12,219,1,55
ALBANY,3,-,-,-,-,-,-,3,-,-
BRONX,4,-,-,-,-,-,-,-,1,3
KINGS,7,-,-,-,-,-,-,-,-,7
MONROE,1,-,-,-,-,-,-,1,-,-
NASSAU,19,-,-,-,-,-,-,19,-,-
NYC SPECIAL NARCOTICS BUREAU,108,-,-,-,-,-,-,108,-,-
NYS SUPREME COURT - 4TH JUDICIAL DEPARTMENT,2,-,-,-,-,-,-,2,-,-
ONONDAGA,4,-,-,-,-,-,1,2,-,1
QUEENS,93,19,-,-,-,-,10,33,-,31
SUFFOLK,41,7,-,3,-,-,-,20,-,11
SULLIVAN,2,2,-,-,-,-,-,-,-,-
SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,21,-,-,6,-,-,1,14,-,-
WESTCHESTER,19,-,-,-,-,-,-,17,-,2
NORTH CAROLINA,82,-,-,-,1,-,-,81,-,-
ALAMANCE,7,-,-,-,-,-,-,7,-,-
CATAWBA,4,-,-,-,-,-,-,4,-,-
FORSYTH,3,-,-,-,-,-,-,3,-,-
GUILFORD,1,-,-,-,-,-,-,1,-,-
MACON,3,-,-,-,-,-,-,3,-,-
MECKLENBURG,1,-,-,-,-,-,-,1,-,-
MOORE,3,-,-,-,-,-,-,3,-,-
PASQUOTANK,1,-,-,-,1,-,-,-,-,-
ROBESON,6,-,-,-,-,-,-,6,-,-
ROWAN,2,-,-,-,-,-,-,2,-,-
VANCE,28,-,-,-,-,-,-,28,-,-
WAKE,16,-,-,-,-,-,-,16,-,-
WAYNE,7,-,-,-,-,-,-,7,-,-
OKLAHOMA,1,1,-,-,-,-,-,-,-,-
OKLAHOMA,1,1,-,-,-,-,-,-,-,-
OREGON,1,-,-,-,1,-,-,-,-,-
MULTNOMAH,1,-,-,-,1,-,-,-,-,-
PENNSYLVANIA,128,-,-,-,12,-,-,45,12,59
PHILADELPHIA,42,-,-,-,-,-,-,39,3,-
SUPERIOR COURT OF PENNSYLVANIA,86,-,-,-,12,-,-,6,9,59
SOUTH DAKOTA,1,-,-,-,-,-,-,-,-,1
SOUTH DAKOTA - CODINGTON COUNTY,1,-,-,-,-,-,-,-,-,1
TENNESSEE,27,-,-,-,1,-,-,19,-,7
11TH JUDICIAL CIRCUIT (HAMILTON),1,-,-,-,-,-,-,-,-,1
20TH JUDICIAL DISTRICT (DAVIDSON),26,-,-,-,1,-,-,19,-,6
TEXAS,1,-,-,-,-,-,-,1,-,-
3RD ADMIN JUDICIAL REGION FOR THE 4TH ADMIN JUDICIAL REGION,1,-,-,-,-,-,-,1,-,-
VIRGINIA,5,5,-,-,-,-,-,-,-,-
CHESTERFIELD COUNTY,5,5,-,-,-,-,-,-,-,-
WEST VIRGINIA,4,-,-,-,-,-,-,-,-,4
DESIGNATED CIRCUIT COURT JUDGE,4,-,-,-,-,-,-,-,-,4
WYOMING,2,2,-,-,-,-,-,-,-,-
NATRONA,1,1,-,-,-,-,-,-,-,-
PARK COUNTY,1,1,-,-,-,-,-,-,-,-
,,,,,,,,,,
