"Wiretap Table 2—Intercept Orders Issued by Judges 
OHIO NORTHERN,29,3,8,-,21,13,30,30,858,-,-,29,-,-,-,-
OHIO SOUTHERN,4,-,2,-,2,1,30,30,90,-,-,2,-,-,2,-
OKLAHOMA EASTERN,2,-,-,-,2,-,30,-,54,-,-,2,-,-,-,-
OKLAHOMA NORTHERN,5,-,4,-,1,1,30,30,30,-,-,5,-,-,-,-
OKLAHOMA WESTERN,30,-,18,-,12,13,30,30,403,-,-,30,-,-,-,-
OREGON,22,-,13,-,9,4,30,30,242,-,-,20,2,-,-,-
PENNSYLVANIA EASTERN,7,-,-,-,7,4,30,30,330,-,-,7,-,-,-,-
PENNSYLVANIA MIDDLE,1,-,-,-,1,1,30,30,60,-,-,1,-,-,-,-
PENNSYLVANIA WESTERN,9,-,8,-,1,12,30,30,120,-,-,8,-,1,-,-
PUERTO RICO,11,1,5,-,6,1,30,30,157,-,-,9,2,-,-,-
SOUTH CAROLINA,22,1,18,-,4,5,30,30,209,-,-,22,-,-,-,-
TENNESSEE  MIDDLE,11,-,8,-,3,3,30,30,104,-,-,11,-,-,-,-
TENNESSEE EASTERN,3,-,2,-,1,1,30,30,60,-,-,2,-,-,1,-
TENNESSEE WESTERN,22,-,10,-,12,6,30,30,400,1,-,21,-,-,-,-
TEXAS EASTERN,40,-,31,-,9,18,30,30,284,-,-,39,1,-,-,-
TEXAS NORTHERN,8,2,2,-,6,4,30,30,177,-,-,5,2,-,1,-
TEXAS SOUTHERN,44,2,38,-,6,8,30,30,344,-,-,44,-,-,-,-
TEXAS WESTERN,41,3,36,2,3,6,30,30,141,-,5,34,-,-,2,-
UTAH,24,2,18,-,6,-,30,-,161,-,-,24,-,-,-,-
VERMONT,11,-,9,-,2,9,30,30,60,-,-,11,-,-,-,-
VIRGINIA EASTERN,8,-,2,-,6,4,30,30,300,-,-,8,-,-,-,-
WASHINGTON  WESTERN,14,1,14,-,-,2,30,30,-,-,-,14,-,-,-,-
WEST VIRGINIA NORTHERN,10,-,9,-,1,2,30,30,30,-,-,10,-,-,-,-
WEST VIRGINIA SOUTHERN,6,-,2,-,4,8,30,30,180,-,-,6,-,-,-,-
WISCONSIN  EASTERN,2,-,-,-,2,1,30,30,77,-,-,2,-,-,-,-
WYOMING,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
ALASKA,2,-,-,-,2,-,30,-,60,-,-,2,-,-,-,-
STATE OF ALASKA - THIRD JUDICIAL DISTRICT (ANCHORAGE),2,-,-,-,2,-,30,-,60,-,-,2,-,-,-,-
ARIZONA,6,-,-,-,6,33,30,30,551,-,-,5,1,-,-,-
MARICOPA,6,-,-,-,6,33,30,30,551,-,-,5,1,-,-,-
CALIFORNIA,349,12,3,-,346,133,30,30,"12,850",3,-,340,5,1,-,-
ALAMEDA,11,-,-,-,11,2,30,30,253,-,-,11,-,-,-,-
CONTRA COSTA,20,2,-,-,20,-,30,-,509,-,-,20,-,-,-,-
FRESNO,8,-,-,-,8,2,30,30,261,-,-,7,1,-,-,-
KERN,11,-,-,-,11,2,30,30,227,-,-,11,-,-,-,-
LAKE,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
LOS ANGELES,159,-,1,-,158,89,30,30,"7,342",-,-,159,-,-,-,-
NAPA,1,-,-,-,1,-,6,-,6,-,-,1,-,-,-,-
ORANGE,16,-,-,-,16,-,30,-,309,-,-,15,1,-,-,-
RIVERSIDE,51,-,-,-,51,19,30,30,"1,806",-,-,51,-,-,-,-
SACRAMENTO,3,-,-,-,3,-,30,-,52,-,-,3,-,-,-,-
SAN BERNARDINO,21,-,2,-,19,8,30,30,728,-,-,21,-,-,-,-
SAN DIEGO,8,1,-,-,8,3,30,30,280,-,-,8,-,-,-,-
SAN JOAQUIN,9,-,-,-,9,6,30,30,296,-,-,8,-,1,-,-
SAN LUIS OBISPO,2,-,-,-,2,-,30,-,46,1,-,1,-,-,-,-
SANTA CLARA,5,-,-,-,5,-,30,-,95,2,-,-,3,-,-,-
SOLANO,3,-,-,-,3,-,28,-,60,-,-,3,-,-,-,-
STANISLAUS,9,-,-,-,9,2,30,30,253,-,-,9,-,-,-,-
VENTURA,11,9,-,-,11,-,30,-,297,-,-,11,-,-,-,-
COLORADO,105,-,57,-,48,23,30,30,"1,606",-,-,105,-,-,-,-
10TH JUDICIAL DISTRICT (PUEBLO),3,-,3,-,-,-,30,-,-,-,-,3,-,-,-,-
17TH JUDICIAL DISTRICT (ADAMS),21,-,21,-,-,4,30,30,-,-,-,21,-,-,-,-
18TH JUDICIAL DISTRICT (ARAPAHOE),3,-,3,-,-,-,30,-,-,-,-,3,-,-,-,-
19TH JUDICIAL DISTRICT (WELD),4,-,2,-,2,-,30,-,31,-,-,4,-,-,-,-
2ND JUDICIAL DISTRICT (DENVER),64,-,28,-,36,16,30,30,"1,280",-,-,64,-,-,-,-
4TH JUDICIAL DISTRICT (EL PASO),1,-,-,-,1,-,30,-,15,-,-,1,-,-,-,-
8TH JUDICIAL DISTRICT (JACKSON/LARIMER),9,-,-,-,9,3,30,30,280,-,-,9,-,-,-,-
CONNECTICUT,1,-,1,-,-,1,30,30,,-,-,1,-,-,-,-
NEW BRITAIN,1,-,1,-,-,1,15,30,-,-,-,1,-,-,-,-
FLORIDA,67,1,1,1,65,19,30,30,"1,983",-,-,67,-,-,-,-
10TH JUDICIAL CIRCUIT (POLK),1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
12TH JUDICIAL CIRCUIT (SARASOTA),2,-,-,-,2,-,30,-,36,-,-,2,-,-,-,-
17TH JUDICIAL CIRCUIT (BROWARD),7,-,-,-,7,1,30,30,181,-,-,7,-,-,-,-
18TH JUDICIAL CIRCUIT (BREVARD/SEMINOLE),8,-,-,-,8,3,29,30,320,-,-,8,-,-,-,-
1ST JUDICIAL CIRCUIT (ESCAMBRIA),2,-,-,-,2,-,30,-,60,-,-,2,-,-,-,-
20TH JUDICIAL CIRCUIT (LEE),1,-,1,-,-,1,30,30,-,-,-,1,-,-,-,-
4TH JUDICIAL CIRCUIT (DUVAL),13,-,-,1,12,6,30,30,454,-,-,13,-,-,-,-
5TH JUDICIAL CIRCUIT (LAKE/MARION),2,1,-,-,2,1,24,30,59,-,-,2,-,-,-,-
7TH JUDICIAL CIRCUIT (VOLUSIA),12,-,-,-,12,3,30,30,329,-,-,12,-,-,-,-
8TH JUDICIAL CIRCUIT (ALACHUA),1,-,-,-,1,1,30,30,56,-,-,1,-,-,-,-
9TH JUDICIAL CIRCUIT (ORANGE/OSCEOLA),18,-,-,-,18,3,30,30,458,-,-,18,-,-,-,-
GEORGIA,23,3,4,-,19,10,30,30,608,-,-,23,-,-,-,-
AUGUSTA,1,-,1,-,-,2,30,30,-,-,-,1,-,-,-,-
DEKALB,2,1,-,-,2,3,30,30,135,-,-,2,-,-,-,-
FLINT,1,-,-,-,1,1,30,30,60,-,-,1,-,-,-,-
GWINNETT,2,2,-,-,2,1,30,30,86,-,-,2,-,-,-,-
HOUSTON,14,-,3,-,11,3,30,30,275,-,-,14,-,-,-,-
JACKSON,1,-,-,-,1,-,30,-,6,-,-,1,-,-,-,-
MACON,2,-,-,-,2,-,30,-,46,-,-,2,-,-,-,-
HAWAII,6,-,-,-,6,-,30,-,151,-,-,6,-,-,-,-
MAUI,6,-,-,-,6,-,30,-,151,-,-,6,-,-,-,-
ILLINOIS,4,-,-,1,3,-,30,-,4,-,-,3,1,-,-,-
JOHNSON,2,-,-,1,1,-,30,-,1,-,-,1,1,-,-,-
PEORIA,1,-,-,-,1,-,6,-,1,-,-,1,-,-,-,-
THIRTEENTH JUDICIAL CIRCUIT,1,-,-,-,1,-,30,-,2,-,-,1,-,-,-,-
INDIANA,5,-,-,-,5,-,30,-,85,-,-,5,-,-,-,-
MONROE,3,-,-,-,3,-,30,-,46,-,-,3,-,-,-,-
SULLIVAN SUPERIOR,2,-,-,-,2,-,30,-,39,-,-,2,-,-,-,-
KANSAS,1,-,-,-,1,-,30,-,28,-,-,1,-,-,-,-
SEDGWICK,1,-,-,-,1,-,30,-,28,-,-,1,-,-,-,-
MARYLAND,27,1,1,-,26,9,30,30,655,-,-,26,1,-,-,-
BALTIMORE,8,-,-,-,8,4,30,30,262,-,-,8,-,-,-,-
CIRCUIT COURT FOR TALBOT COUNTY,1,-,1,-,-,-,30,-,-,-,-,-,1,-,-,-
HARFORD,3,-,-,-,3,-,30,-,45,-,-,3,-,-,-,-
WASHINGTON,14,-,-,-,14,3,30,30,335,-,-,14,-,-,-,-
WICOMICO,1,1,-,-,1,2,13,30,13,-,-,1,-,-,-,-
MASSACHUSETTS,6,-,-,-,6,9,30,30,197,-,-,6,-,-,-,-
ESSEX,4,-,-,-,4,5,15,30,135,-,-,4,-,-,-,-
HAMPDEN,2,-,-,-,2,4,15,30,62,-,-,2,-,-,-,-
NEVADA,215,6,87,3,125,25,30,30,"3,617",1,-,212,2,-,-,-
CLARK,215,6,87,3,125,25,30,30,"3,617",1,-,212,2,-,-,-
NEW JERSEY,87,2,58,-,29,49,30,30,671,2,1,81,1,2,-,-
ATLANTIC,8,-,8,-,-,5,20,30,-,-,-,8,-,-,-,-
BERGEN,6,-,-,-,6,6,20,30,118,-,-,6,-,-,-,-
CAMDEN,15,-,14,-,1,12,19,30,3,2,-,10,1,2,-,-
CUMBERLAND,1,-,1,-,-,-,20,-,-,-,-,1,-,-,-,-
ESSEX,1,1,1,-,-,2,18,30,-,-,-,1,-,-,-,-
HUDSON,16,-,10,-,6,11,21,30,174,-,-,16,-,-,-,-
MIDDLESEX,8,-,5,-,3,2,20,30,32,-,-,8,-,-,-,-
MONMOUTH,4,-,2,-,2,1,20,30,44,-,-,4,-,-,-,-
MORRIS,1,-,1,-,-,-,20,-,-,-,-,1,-,-,-,-
OCEAN,8,-,-,-,8,8,29,30,268,-,-,8,-,-,-,-
SALEM,3,-,3,-,-,-,20,-,-,-,-,3,-,-,-,-
SOMERSET,16,1,13,-,3,2,21,30,32,-,1,15,-,-,-,-
NEW YORK,324,58,37,-,287,443,30,30,"15,868",1,-,322,-,1,-,-
ALBANY,3,2,-,-,3,11,30,30,376,-,-,3,-,-,-,-
BRONX,4,1,-,-,4,33,30,30,584,-,-,4,-,-,-,-
KINGS,7,-,3,-,4,4,29,30,142,1,-,6,-,-,-,-
MONROE,1,1,-,-,1,9,30,30,263,-,-,1,-,-,-,-
NASSAU,19,-,14,-,5,29,30,30,224,-,-,19,-,-,-,-
NYC SPECIAL NARCOTICS BUREAU,108,22,-,-,108,88,30,30,"4,728",-,-,108,-,-,-,-
NYS SUPREME COURT - 4TH JUDICIAL DEPARTMENT,2,-,-,-,2,2,30,30,117,-,-,2,-,-,-,-
ONONDAGA,4,2,1,-,3,20,30,30,531,-,-,4,-,-,-,-
QUEENS,93,10,-,-,93,151,27,30,"5,891",-,-,93,-,-,-,-
SUFFOLK,41,7,-,-,41,47,27,30,"1,635",-,-,41,-,-,-,-
SULLIVAN,2,2,-,-,2,3,30,30,142,-,-,2,-,-,-,-
SUPREME COURT APPELLATE DIVISION 2ND DEPARTMENT,21,4,2,-,19,39,27,30,"1,235",-,-,20,-,1,-,-
WESTCHESTER,19,7,17,-,2,7,29,30,-,-,-,19,-,-,-,-
NORTH CAROLINA,82,-,-,-,82,-,30,-,"2,154",-,-,60,22,-,-,-
ALAMANCE,7,-,-,-,7,-,30,-,185,-,-,7,-,-,-,-
CATAWBA,4,-,-,-,4,-,30,-,120,-,-,4,-,-,-,-
FORSYTH,3,-,-,-,3,-,30,-,72,-,-,3,-,-,-,-
GUILFORD,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
MACON,3,-,-,-,3,-,30,-,75,-,-,3,-,-,-,-
MECKLENBURG,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
MOORE,3,-,-,-,3,-,30,-,75,-,-,3,-,-,-,-
PASQUOTANK,1,-,-,-,1,-,30,-,7,-,-,1,-,-,-,-
ROBESON,6,-,-,-,6,-,30,-,165,-,-,6,-,-,-,-
ROWAN,2,-,-,-,2,-,30,-,60,-,-,2,-,-,-,-
VANCE,28,-,-,-,28,-,30,-,780,-,-,10,18,-,-,-
WAKE,16,-,-,-,16,-,30,-,375,-,-,12,4,-,-,-
WAYNE,7,-,-,-,7,-,30,-,180,-,-,7,-,-,-,-
OKLAHOMA,1,-,-,-,1,-,30,-,25,-,-,1,-,-,-,-
OKLAHOMA,1,-,-,-,1,-,30,-,25,-,-,1,-,-,-,-
OREGON,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
MULTNOMAH,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
PENNSYLVANIA,128,1,3,-,125,4,30,30,"2,276",-,-,120,8,-,-,-
PHILADELPHIA,42,-,-,-,42,4,19,30,932,-,-,42,-,-,-,-
SUPERIOR COURT OF PENNSYLVANIA,86,1,3,-,83,-,30,-,"1,344",-,-,78,8,-,-,-
SOUTH DAKOTA,1,-,1,-,-,1,30,30,,-,-,1,-,-,-,-
SOUTH DAKOTA - CODINGTON COUNTY,1,-,1,-,-,1,30,30,-,-,-,1,-,-,-,-
TENNESSEE,27,-,-,-,27,9,30,30,605,-,-,27,-,-,-,-
11TH JUDICIAL CIRCUIT (HAMILTON),1,-,-,-,1,-,30,-,1,-,-,1,-,-,-,-
20TH JUDICIAL DISTRICT (DAVIDSON),26,-,-,-,26,9,29,30,604,-,-,26,-,-,-,-
TEXAS,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
3RD ADMIN JUDICIAL REGION FOR THE 4TH ADMIN JUDICIAL REGION,1,-,-,-,1,-,30,-,30,-,-,1,-,-,-,-
VIRGINIA,5,-,-,-,5,-,30,-,113,-,-,5,-,-,-,-
CHESTERFIELD COUNTY,5,-,-,-,5,-,30,-,113,-,-,5,-,-,-,-
WEST VIRGINIA,4,-,-,-,4,2,30,30,113,-,-,4,-,-,-,-
DESIGNATED CIRCUIT COURT JUDGE,4,-,-,-,4,2,20,30,113,-,-,4,-,-,-,-
WYOMING,2,-,-,-,2,1,30,30,62,-,-,2,-,-,-,-
NATRONA,1,-,-,-,1,-,30,-,2,-,-,1,-,-,-,-
PARK COUNTY,1,-,-,-,1,1,30,30,60,-,-,1,-,-,-,-
"¹ Based on the number of orders for which intercept devices were installed as reported by the prosecuting official.
² Combination refers to the number of authorized interceptions for which more than one location was reported.",,,,,,,,,,,,,,,,
