Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating  Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, NORTHERN",2010-14,BOWDRE,BLANCO,NARCOTICS,WC,D,40360.0,30,0,30,INSTALLED AND USED,30.0,77.0,22.0,2323.0,144.0,64643.0,4925.0,6.0,0.0,0.0,0.0,0.0,6.0,,
"ALABAMA, NORTHERN",2010-15,BOWDRE,KEENEY,NARCOTICS,WC,D,40393.0,30,0,30,INSTALLED AND USED,30.0,0.0,0.0,0.0,0.0,162966.0,4584.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2010-16,BOWDRE,KEENEY,NARCOTICS,WC,D,40408.0,30,0,30,INSTALLED AND USED,30.0,0.0,3.0,4.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2010-14,RELATED TO NO. 2010-14
"ALABAMA, NORTHERN",2010-17,BOWDRE,BLANCO,NARCOTICS,WC,D,40438.0,30,0,30,INSTALLED AND USED,30.0,1.0,7.0,31.0,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2010-14,RELATED TO NO. 2010-14
"ALABAMA, NORTHERN",2012-14,KALLON,BLANCO,NARCOTICS,WC,D,40968.0,30,0,30,INSTALLED AND USED,29.0,136.0,25.0,3952.0,2850.0,36691.0,673.0,15.0,0.0,0.0,0.0,0.0,3.0,,
"ALABAMA, NORTHERN",2012-15,KALLON,WEINSTEIN,NARCOTICS,WC,D,40981.0,30,0,30,INSTALLED AND USED,30.0,61.0,30.0,1828.0,1100.0,59707.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-14
"ALABAMA, NORTHERN",2012-16,KALLON,BLANCO,NARCOTICS,WC,D,40996.0,30,0,30,INSTALLED AND USED,26.0,11.0,8.0,285.0,63.0,7677.0,1285.0,8.0,0.0,0.0,0.0,0.0,4.0,,
"ALABAMA, NORTHERN",2012-17,KALLON,HULSER,NARCOTICS,WC,D,41226.0,30,0,30,INSTALLED AND USED,30.0,45.0,63.0,1339.0,87.0,83021.0,0.0,23.0,1.0,0.0,0.0,0.0,23.0,,
"ALABAMA, NORTHERN",2013-38,KALLON,SWARTZ,NARCOTICS,WC,D,41240.0,30,1,60,INSTALLED AND USED,60.0,40.0,144.0,2373.0,763.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2012-17,RELATED TO NO. 2012-17
"ALABAMA, NORTHERN",2013-39,BOWDRE,BLANCO,NARCOTICS,WC,D,41313.0,30,0,30,INSTALLED AND USED,29.0,321.0,382.0,9311.0,742.0,37218.0,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2014-7,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41815.0,30,0,30,INSTALLED AND USED,29.0,487.0,313.0,14116.0,41.0,26100.0,642.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2014-8,KALLON,O'BRIEN,NARCOTICS,"EO,WC",D,41855.0,30,0,30,INSTALLED AND USED,30.0,440.0,10.0,13189.0,270.0,70118.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,,
"ALABAMA, NORTHERN",2014-9,PROCTOR,O'NEIL,NARCOTICS,"WC,TX",D,41857.0,30,1,60,INSTALLED AND USED,45.0,76.0,143.0,3436.0,348.0,80155.0,4393.0,3.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2014-10,PROCTOR,O'BRIEN,NARCOTICS,WC,D,41885.0,30,1,60,INSTALLED AND USED,49.0,52.0,142.0,2551.0,148.0,77288.0,5186.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2014-11,PROCTOR,BITKOWER,NARCOTICS,"WC,TX",D,41922.0,30,0,30,INSTALLED AND USED,21.0,42.0,33.0,885.0,37.0,25795.0,643.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2015-1,HOPKINS,O'BRIEN,NARCOTICS,"EO,WC",D,42059.0,30,0,30,INSTALLED AND USED,30.0,199.0,45.0,5958.0,3048.0,104880.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,,
"ALABAMA, NORTHERN",2015-2,BOWDRE,BITKOWER,NARCOTICS,"EO,WC",D,42144.0,30,0,30,INSTALLED AND USED,29.0,112.0,26.0,3257.0,561.0,213418.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2015-3,BOWDRE,BITKOWER,NARCOTICS,WC,D,42171.0,30,1,60,INSTALLED AND USED,48.0,236.0,32.0,11337.0,1450.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-2,RELATED TO NO. 2015-2
"ALABAMA, NORTHERN",2015-4,BLACKBURN,O'BRIEN,NARCOTICS,WC,D,42201.0,30,0,30,INSTALLED AND USED,20.0,44.0,11.0,871.0,161.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-2,RELATED TO NO. 2015-2
"ALABAMA, SOUTHERN",2014-4,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,41865.0,30,1,60,INSTALLED AND USED,58.0,69.0,30.0,4020.0,415.0,73736.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2014-5,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,41957.0,30,0,30,INSTALLED AND USED,21.0,80.0,46.0,1686.0,270.0,27293.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-1,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,41899.0,30,2,90,INSTALLED AND USED,87.0,118.0,20.0,10294.0,3469.0,78995.0,2486.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-2,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,42079.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-3,GRANADE,SUH,NARCOTICS,"WC,TX",D,42079.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-4,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,42090.0,30,0,30,INSTALLED AND USED,30.0,33.0,29.0,992.0,93.0,26141.0,850.0,7.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-5,GRANADE,BLANCO,NARCOTICS,"WC,TX",D,42093.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALASKA,2010-6,BEISTLINE,WEINSTEIN,NARCOTICS,WC,D,40346.0,30,1,60,INSTALLED AND USED,60.0,418.0,365.0,25085.0,5.0,100052.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-40,ZAPATA,BLANCO,NARCOTICS,WC,D,40841.0,30,0,30,INSTALLED AND USED,15.0,74.0,26.0,1111.0,25.0,30555.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-41,ZAPATA,BLANCO,NARCOTICS,WC,D,40841.0,30,0,30,INSTALLED AND USED,15.0,74.0,26.0,1111.0,25.0,30555.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-42,ZAPATA,BLANCO,NARCOTICS,WC,D,40841.0,30,1,60,INSTALLED AND USED,58.0,62.0,40.0,3580.0,687.0,93072.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2011-43,ZAPATA,BLANCO,NARCOTICS,WC,D,40841.0,30,1,60,INSTALLED AND USED,51.0,17.0,39.0,889.0,208.0,83328.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-84,COLLINS,BLANCO,NARCOTICS,WC,D,41066.0,30,3,120,INSTALLED AND USED,120.0,5.0,143.0,615.0,0.0,149486.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-85,COLLINS,WEINSTEIN,NARCOTICS,WC,D,41106.0,30,0,30,INSTALLED AND USED,30.0,1.0,5.0,26.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2012-84,
ARIZONA,2013-104,WAKE,O'BRIEN,NARCOTICS,WC,D,41395.0,30,1,60,INSTALLED AND USED,60.0,187.0,82.0,11206.0,3830.0,257425.0,500.0,7.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-105,WAKE,O'BRIEN,NARCOTICS,"WC,OM",D,41412.0,30,0,30,INSTALLED AND USED,15.0,14.0,26.0,217.0,31.0,24995.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2013-106,ZAPATA,BITKOWER,NARCOTICS,TX,D,41568.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-96,WAKE,O'BRIEN,NARCOTICS,WC,D,41751.0,30,0,30,INSTALLED AND USED,14.0,23.0,10.0,324.0,94.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-104,RELATED TO NO. 2013-104
ARIZONA,2014-97,WAKE,O'BRIEN,NARCOTICS,WC,D,41767.0,30,0,30,INSTALLED AND USED,30.0,20.0,13.0,587.0,289.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-104,RELATED TO NO. 2013-104
ARIZONA,2014-98,COLLINS,BLANCO,ASSAULT,WC,D,41799.0,30,0,30,NEVER INSTALLED,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-99,CAMPBELL,O'BRIEN,NARCOTICS,"WC,TX",D,41800.0,30,1,60,INSTALLED AND USED,50.0,36.0,97.0,1818.0,376.0,72586.0,4000.0,5.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-100,WAKE,O'BRIEN,NARCOTICS,WC,D,41803.0,30,0,30,INSTALLED AND USED,30.0,4.0,1.0,113.0,58.0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-104,RELATED TO NO. 2013-104
ARIZONA,2014-101,ZAPATA,BLANCO,NARCOTICS,EO,D,41820.0,30,12,390,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-102,ZAPATA,O'BRIEN,NARCOTICS,WC,D,41848.0,30,0,30,INSTALLED AND USED,30.0,226.0,49.0,6789.0,6789.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-103,ZAPATA,O'BRIEN,NARCOTICS,WC,D,41904.0,30,0,30,INSTALLED AND USED,30.0,274.0,37.0,8214.0,2664.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-104,CAMPBELL,BLANCO,NARCOTICS,"WC,TX",D,41914.0,30,0,30,INSTALLED AND USED,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2014-99,RELATED TO NO. 2014-99
ARIZONA,2014-105,BURY,BLANCO,NARCOTICS,WC,D,41926.0,30,1,60,INSTALLED AND USED,60.0,760.0,175.0,45578.0,10150.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-1,ZAPATA,O'BRIEN,NARCOTICS,"WC,EO,TX",D,41932.0,30,7,240,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-2,SNOW,BITKOWER,NARCOTICS,"WC,TX",D,41974.0,30,1,60,INSTALLED AND USED,45.0,24.0,39.0,1069.0,188.0,70019.0,3635.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-3,BURY,O'BRIEN,$LAUNDERING,"WC,TX",D,41989.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-4,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41991.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-5,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41991.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-6,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41991.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-7,ZAPATA,O'BRIEN,NARCOTICS,EO,D,41991.0,30,4,150,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-8,SOTO,O'BRIEN,NARCOTICS,WC,D,42004.0,30,0,30,INSTALLED AND USED,30.0,1183.0,71.0,35495.0,6944.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-9,ZAPATA,O'BRIEN,NARCOTICS,EO,D,42018.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-10,ZAPATA,O'BRIEN,NARCOTICS,EO,D,42018.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-11,TUCHI,O'BRIEN,NARCOTICS,WC,D,42046.0,30,0,30,INSTALLED AND USED,29.0,17.0,10.0,501.0,80.0,23815.0,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-12,ZAPATA,BLANCO,NARCOTICS,EO,D,42047.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-13,ZAPATA,SWARTZ,$LAUNDERING,TX,D,42052.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-14,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42065.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-15,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42065.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-16,SNOW,BITKOWER,NARCOTICS,"WC,TX",D,42067.0,30,0,30,INSTALLED AND USED,22.0,14.0,20.0,318.0,113.0,22308.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-17,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42069.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-18,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42069.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-19,SNOW,BITKOWER,NARCOTICS,"WC,TX",D,42072.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-20,SNOW,BITKOWER,NARCOTICS,"WC,TX",D,42072.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-21,SNOW,BITKOWER,NARCOTICS,"WC,TX",D,42072.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-22,ZAPATA,BLANCO,NARCOTICS,EO,D,42075.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-23,HUMETEWA,O'BRIEN,NARCOTICS,EO,D,42076.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-24,TUCHI,BLANCO,NARCOTICS,"WC,TX",D,42086.0,30,0,30,INSTALLED AND USED,29.0,80.0,30.0,2309.0,545.0,37893.0,1875.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-25,ZAPATA,BLANCO,$LAUNDERING,TX,D,42086.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-26,TUCHI,BLANCO,NARCOTICS,WC,D,42087.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-27,TUCHI,BLANCO,NARCOTICS,WC,D,42087.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-28,ZAPATA,MILLER,NARCOTICS,EO,D,42089.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-29,ZAPATA,BITKOWER,$LAUNDERING,"WC,TX",D,42089.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-30,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42095.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-31,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42095.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-32,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42095.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-33,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42095.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-34,ZAPATA,O'BRIEN,NARCOTICS,EO,D,42103.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-35,SNOW,O'BRIEN,NARCOTICS,"WC,TX",D,42104.0,30,0,30,INSTALLED AND USED,8.0,14.0,12.0,110.0,38.0,6422.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-36,SNOW,O'BRIEN,NARCOTICS,"WC,TX",D,42107.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-37,SNOW,O'BRIEN,NARCOTICS,"WC,TX",D,42107.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-38,RAYES,SUH,NARCOTICS,EO,D,42117.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-39,RAYES,SUH,NARCOTICS,EO,D,42117.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-40,RAYES,SUH,NARCOTICS,EO,D,42117.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-41,HUMETEWA,BLANCO,NARCOTICS,EO,D,42118.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-42,HUMETEWA,BLANCO,NARCOTICS,EO,D,42118.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-43,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-44,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-45,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-46,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-47,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-48,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-49,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-50,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42125.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-51,BURY,O'BRIEN,NARCOTICS,WC,D,42131.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-52,BURY,O'BRIEN,NARCOTICS,EO,D,42131.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-53,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42143.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-54,RAYES,O'BRIEN,NARCOTICS,"TX,EO",D,42143.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
