Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, NORTHERN",2016-20,HAIKALA,,NARCOTICS,WC,D,42541.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,3.0,5,34,2,25244.0,643.0,16.0,0.0,0.0,0.0,0.0,7.0,,
"ALABAMA, NORTHERN",2017-7,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,42865.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-8,COOGLER,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42906.0,8.0,0.0,8.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-9,HAIKALA,HULSER,DRUGS - ILLEGAL,"WC,TX",D,42849.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-10,HOPKINS,BLANCO,CONSPIRACY,"WC,OM,TX",D,42776.0,18.0,0.0,18.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-11,HOPKINS,BLANCO,DRUGS - ILLEGAL,"WC,TX","D,R",42969.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-12,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,42872.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-13,HOPKINS,BLANCO,DRUGS - ILLEGAL,WC,D,42957.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-14,BOWDRE,BLANCO,DRUGS - ILLEGAL,WC,D,42872.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2017-15,KALLON,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42880.0,26.0,0.0,26.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2016-19,DUBOSE,,NARCOTICS,"WC,TX",D,42485.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,38.0,44,"1,164",160,26392.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2017-2,STEELE,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,42914.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2017-3,STEELE,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,42880.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2017-4,DUBOSE,BLANCO,DRUGS - ILLEGAL,"WC,TX",D,42800.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2014-217,COLLINS,DOWNING,NARCOTICS,TX,D,41707.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2015-283,ZAPATA,,NARCOTICS,EO,D,42046.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,24.0,18,698,183,23424.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-284,ZAPATA,,NARCOTICS,EO,D,42075.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,40.0,23,"1,200",150,22621.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-285,LOGAN,,FRAUD,EO,B,42235.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,1.0,29,138,100,33222.0,4700.0,11.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-351,HUMETEWA,,NARCOTICS,"WC,TX",D,42419.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,260.0,232,"7,567","3,119",26000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-352,BURY,,NARCOTICS,WC,D,42417.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,1601.0,987,"96,065","26,251",2479497.0,49955.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-89
ARIZONA,2016-353,BURY,,NARCOTICS,TX,D,42403.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,720.0,78,"41,817","9,945",66547.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-354,ZAPATA,,NARCOTICS,TX,D,42466.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,133.0,91,"3,604","2,282",35790.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-355,MARQUEZ,,NARCOTICS,"WC,TX",D,42472.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,27.0,35,785,70,40464.0,1700.0,17.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-356,BURY,,NARCOTICS,"WC,TX",D,42485.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,54190.0,1200.0,4.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-357,MARQUEZ,,NARCOTICS,"WC,TX",D,42502.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,64.0,63,"1,884",945,42146.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-355
ARIZONA,2016-358,JORGENSON,,NARCOTICS,"WC,TX",D,42556.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,30.0,41,915,109,24727.0,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-359,ZAPATA,,NARCOTICS,TX,D,42465.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,379.0,70,"33,031","10,902",77122.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-360,MARQUEZ,,NARCOTICS,TX,D,42447.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,1395.0,297,"121,369","27,439",189540.0,26000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-361,ZAPATA,,NARCOTICS,TX,D,42437.0,30.0,5.0,180.0,INSTALLED AND USED,178.0,40.0,50,"7,204","4,919",225588.0,4512.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-362,ZAPATA,,NARCOTICS,TX,D,42494.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,106.0,93,"12,750","8,328",57427.0,3760.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-363,HUMETEWA,,NARCOTICS,"WC,TX",D,42608.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,1.0,6,21,7,40874.0,4752.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-364,TUCHI,,NARCOTICS,"WC,TX",D,42594.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,112.0,68,"3,377",940,23150.0,2242.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-365,HUMETEWA,,NARCOTICS,"WC,TX",D,42576.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,27.0,11,"1,669",292,81528.0,7008.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-366,BURY,,NARCOTICS,TX,D,42620.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,20,119,89,8788.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-367,HUMETEWA,,NARCOTICS,"WC,TX",D,42643.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,100.0,65,"3,013",694,49152.0,5504.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-368,SNOW,,NARCOTICS,"WC,TX",D,42647.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,21.0,19,645,145,23459.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-369,ZAPATA,,NARCOTICS,TX,D,42565.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,676.0,86,"60,843","9,071",104846.0,10000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-370,ZAPATA,,NARCOTICS,TX,D,42620.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,22.0,41,"2,033","1,230",62883.0,4773.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-371,ZAPATA,,NARCOTICS,TX,D,42704.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,0.0,1,4,2,20624.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-372,ZAPATA,,NARCOTICS,"WC,TX",D,42655.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,42.0,98,"2,577","1,031",45067.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2016-373,ZAPATA,HULSER,NARCOTICS,"WC,EO",D,42662.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,,,,,,,,,,,,,,
ARIZONA,2016-425,ZAPATA,BLANCO,NARCOTICS,TX,D,42599.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2016-474,HUMETEWA,DOWNING,NARCOTICS,"WC,TX,EO",D,42332.0,30.0,11.0,360.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-27,SNOW,,NARCOTICS,"WC,TX",D,42625.0,30.0,3.0,120.0,INSTALLED AND USED,99.0,0.0,0,0,0,49418.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-28,BURY,,NARCOTICS,"WC,TX",D,42754.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,2.0,2,33,20,11026.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-29,HUMETEWA,,NARCOTICS,"WC,TX",D,42677.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,114.0,168,"10,348","2,947",112806.0,5504.0,15.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-30,ZAPATA,,NARCOTICS,TX,D,42744.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,180.0,102,"5,428","2,343",39516.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-31,ZAPATA,,NARCOTICS,TX,D,42677.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,35.0,46,"3,164","1,860",120866.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-32,ZAPATA,,NARCOTICS,TX,D,42649.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,0.0,0,0,0,228434.0,8303.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-33,ZAPATA,,NARCOTICS,"WC,TX",D,42769.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,9.0,46,270,63,21729.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-35,LOGAN,,NARCOTICS,TX,D,42780.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,13,509,69,7240.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-36,SNOW,,NARCOTICS,"WC,TX",D,42800.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,6.0,37,196,50,24270.0,2110.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-37,COLLINS,,NARCOTICS,"WC,TX",D,42803.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,32185.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-38,LOGAN,,NARCOTICS,TX,D,42836.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,44.0,10,359,119,3912.0,1013.0,4.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-39,SNOW,,NARCOTICS,TX,D,42818.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,31.0,16,949,155,23700.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-40,LOGAN,,NARCOTICS,WC,D,42843.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2017-41,RELATED TO NO. 2017-50
ARIZONA,2017-41,HUMETEWA,,NARCOTICS,TX,D,42809.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,18.0,19,"1,116",183,22644.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-50
ARIZONA,2017-42,BURY,,NARCOTICS,"WC,TX",D,42850.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,164.0,224,"4,927",420,25382.0,1600.0,29.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-43,BURY,,NARCOTICS,"WC,TX",D,42769.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,116.0,249,"10,466",489,58967.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-42
ARIZONA,2017-44,WAKE,,NARCOTICS,"WC,TX",D,42809.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,24938.0,4375.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-45,LOGAN,,NARCOTICS,"WC,TX",D,42871.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,3.0,18,48,5,4960.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-46,SNOW,,NARCOTICS,"WC,TX",D,42853.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,75611.0,4783.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-47,SNOW,,NARCOTICS,"WC,TX",D,42811.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,25380.0,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-48,CAMPBELL,,NARCOTICS,"WC,TX",D,42859.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,130.0,76,"3,906","1,257",21643.0,643.0,3.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-49,LOGAN,,NARCOTICS,"WC,TX",D,42887.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,37.0,41,"1,119",490,22714.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-50,LOGAN,,NARCOTICS,"WC,TX",D,42912.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,15.0,43,473,362,9111.0,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-51,BURY,,NARCOTICS,WC,D,42466.0,30.0,16.0,510.0,INSTALLED AND USED,510.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-352,RELATED TO NO. 2015-89
ARIZONA,2017-52,RAYES,,NARCOTICS,WC,D,42990.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,753.0,50,"45,205","6,210",415430.0,1600.0,20.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2017-53,CAMPBELL,SWARTZ,NARCOTICS,"WC,TX,EO",D,42990.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-54,ZAPATA,HULSER,NARCOTICS,TX,D,42991.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-55,ZAPATA,HULSER,NARCOTICS,TX,D,42991.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-56,COLLINS,DOWNING,NARCOTICS,TX,D,42803.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-58,ZIPPS,,NARCOTICS,"WC,EO",D,42936.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-59,LOGAN,SWARTZ,NARCOTICS,"WC,TX,EO",D,42837.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-60,SNOW,,NARCOTICS,"WC,TX,EO",D,42814.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-61,CAMPBELL,,NARCOTICS,"WC,TX,EO",D,42822.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-62,ZAPATA,BLANCO,NARCOTICS,TX,D,42599.0,30.0,4.0,150.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-63,SNOW,DOWNING,NARCOTICS,"WC,TX,EO",D,43061.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-64,BURY,,NARCOTICS,"WO,TX",D,42691.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-65,BURY,BLANCO,NARCOTICS,TX,D,42720.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-66,TUCHI,,NARCOTICS,"WC,TX,EO",D,42811.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-67,LOGAN,,NARCOTICS,"WC,TX,EO",D,42811.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-68,ZAPATA,HULSER,NARCOTICS,TX,D,42922.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-69,ZAPATA,,NARCOTICS,TX,D,42746.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-70,ZAPATA,HULSER,NARCOTICS,TX,D,42922.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-71,SNOW,,NARCOTICS,"WC,TX,EO",D,42803.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-72,ZAPATA,HULSER,NARCOTICS,TX,D,42922.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-73,ZAPATA,HULSER,NARCOTICS,TX,D,42991.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-74,ZAPATA,HULSER,OTHER,TX,D,42893.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-75,ZAPATA,,OTHER,TX,D,42752.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-76,ZAPATA,HULSER,NARCOTICS,TX,D,43052.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-77,ZAPATA,,OTHER,TX,D,42752.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-79,ZAPATA,HULSER,NARCOTICS,TX,D,42922.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-80,ZAPATA,BLANCO,NARCOTICS,"WC,EO",D,42830.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-81,BURY,,NARCOTICS,"WC,OO,TX",D,42998.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-82,ZAPATA,,NARCOTICS,"WC,EO",D,43005.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-83,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,43024.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-84,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,42811.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-85,ZAPATA,DOWNING,SMUGGLING,"WC,TX",D,43014.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-86,CAMPBELL,HULSER,NARCOTICS,"WC,EO",D,42915.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-87,ZAPATA,HULSER,DRUGS - ILLEGAL,"WC,EO",D,42856.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-88,ZAPATA,HULSER,DRUGS - ILLEGAL,"WC,EO",D,42893.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-89,ZAPATA,,DRUGS - ILLEGAL,"WC,EO",D,42753.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-90,LOGAN,,NARCOTICS,"WC,EO",D,42969.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-91,CAMPBELL,HULSER,NARCOTICS,"WC,TX,EO",D,43028.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-92,CAMPBELL,HULSER,NARCOTICS,"WC,TX,EO",D,42990.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-93,SNOW,HULSER,NARCOTICS,"WC,TX,EO",D,42958.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-94,LOGAN,SWARTZ,NARCOTICS,"WC,TX,EO",D,43045.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-95,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,42986.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-96,LOGAN,DOWNING,NARCOTICS,"WC,TX,EO",D,42990.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-97,SNOW,,NARCOTICS,"WC,TX,EO",D,43005.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-98,LOGAN,HULSER,NARCOTICS,"WC,TX,EO",D,42975.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-99,CAMPBELL,HULSER,NARCOTICS,"WC,EO",D,42885.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-100,LOGAN,HULSER,NARCOTICS,"WC,EO",D,42971.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-101,CAMPBELL,DOWNING,NARCOTICS,"WC,TX,EO",D,42860.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-102,SNOW,DOWNING,NARCOTICS,"WC,TX,EO",D,42934.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-103,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,42811.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-104,TUCHI,HULSER,NARCOTICS,"WC,TX,EO",D,42852.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-105,LOGAN,BLANCO,NARCOTICS,"WC,TX,EO",D,42872.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-106,BURY,BLANCO,NARCOTICS,TX,D,42720.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ARIZONA,2017-107,SNOW,HULSER,NARCOTICS,"WC,TX,EO",D,42814.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
