Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"ALABAMA, MIDDLE",2015-31,"ALBRITTON, III",,NARCOTICS,WC,D,42286.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,127.0,31,"1,655",154,30435.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2015-33,"ALBRITTON, III",,NARCOTICS,WC,D,42338.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,172.0,31,"1,894",194,31290.0,3750.0,3.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2016-26,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42346.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,60.0,75,"3,522",237,75536.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-27
"ALABAMA, MIDDLE",2016-27,COOGLER,,NARCOTICS,WC,D,42388.0,30.0,1.0,60.0,INSTALLED AND USED,43.0,,,,,53756.0,350.0,2.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2016-29,COOGLER,,NARCOTICS,"WC,TX",D,42443.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,50.0,35,"1,204",34,32142.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-27
"ALABAMA, MIDDLE",2016-31,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42527.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,10.0,15,302,35,40216.0,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, MIDDLE",2016-33,"ALBRITTON, III",,NARCOTICS,"WC,TX",D,42538.0,30.0,1.0,60.0,INSTALLED AND USED,33.0,140.0,30,"4,651",707,38228.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2015-6,HAIKALA,O'BRIEN,NARCOTICS,"WC,EO",D,42306.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,94.0,20,"2,849",191,27162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2016-4,PROCTOR,,NARCOTICS,WC,D,42411.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,22.0,17,297,44,25785.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2016-5,KALLON,O'BRIEN,NARCOTICS,"WC,EO",D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,287.0,24,"2,012",960,8807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2016-6,HAIKALA,,NARCOTICS,WC,D,42468.0,30.0,1.0,60.0,INSTALLED AND USED,35.0,29.0,44,"1,033",123,31902.0,1304.0,4.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, NORTHERN",2016-8,PROCTOR,O'BRIEN,DRUGS - ILLEGAL,WC,D,42411.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-9,BOWDRE,SUH,DRUGS - ILLEGAL,"WC,TX",D,42515.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-10,HAIKALA,BLANCO,DRUGS - ILLEGAL,WC,D,42479.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-11,HAIKALA,O'BRIEN,DRUGS - ILLEGAL,WC,D,42530.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-12,HAIKALA,,DRUGS - ILLEGAL,WC,D,42541.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-13,HAIKALA,CALDWELL,DRUGS - ILLEGAL,WO,R,42590.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, NORTHERN",2016-14,HAIKALA,CALDWELL,DRUGS - ILLEGAL,WO,R,42628.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2013-21,STEELE,,NARCOTICS,WC,D,41437.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,37865.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-23,STEELE,,NARCOTICS,WC,D,41452.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,39193.0,1933.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-24,DUBOSE,,NARCOTICS,WC,D,41467.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,,,,,75162.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2013-27,DUBOSE,,NARCOTICS,WC,D,41516.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,37902.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2014-15,DUBOSE,,NARCOTICS,WC,D,41661.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,37885.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2015-17,GRANADE,,NARCOTICS,"WC,TX",D,42076.0,30.0,1.0,60.0,INSTALLED AND USED,47.0,0.0,0,0,0,37364.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2016-13,STEELE,O'BRIEN,NARCOTICS,WC,D,42479.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,131.0,71,"3,956","3,354",67354.0,3000.0,16.0,0.0,0.0,0.0,0.0,0.0,,
"ALABAMA, SOUTHERN",2016-14,STEELE,O'BRIEN,NARCOTICS,WC,D,42528.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,65.0,48,"1,978","1,708",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-13,RELATED TO NO. 2016-13
"ALABAMA, SOUTHERN",2016-15,STEELE,,DRUGS - ILLEGAL,WC,"D,B",42607.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,,,,102,,,,,,,,,,
"ALABAMA, SOUTHERN",2016-16,STEELE,CALDWELL,DRUGS - ILLEGAL,"WC,TX",D,42598.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2016-17,DUBOSE,O'BRIEN,DRUGS - ILLEGAL,"WC,TX",D,42486.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"ALABAMA, SOUTHERN",2016-18,STEELE,O'BRIEN,DRUGS - ILLEGAL,"WC,TX",D,42475.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
ALASKA,2014-3,GLEASON,,NARCOTICS,WC,D,41781.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4.0,17,138,63,37885.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALASKA,2015-4,BEISTLINE,,NARCOTICS,"WC,TX",D,42215.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,24418.0,1725.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2012-86,ZAPATA,WEINSTEIN,SMUGGLING,WS,B,40988.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,10.0,129,651,110,57386.0,18.0,8.0,0.0,,,,7.0,,
ARIZONA,2013-108,BURY,BITKOWER,NARCOTICS,EO,D,41403.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,,,,,686447.0,246215.0,,,,,,,RELATED TO NO. 2013-112,
ARIZONA,2013-109,BURY,BITKOWER,NARCOTICS,EO,D,41375.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,209.0,4,"6,296","1,072",,,,,,,,,,
ARIZONA,2013-110,BURY,O'BRIEN,NARCOTICS,EO,D,41403.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,1.0,1,23,6,,,,,,,,,,
ARIZONA,2013-111,BURY,BITKOWER,NARCOTICS,EO,D,41403.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,130.0,14,"2,484","2,118",686447.0,246215.0,,,,,,,RELATED TO NO. 2013-112,
ARIZONA,2013-112,BURY,BITKOWER,NARCOTICS,EO,D,41317.0,30.0,5.0,180.0,INSTALLED AND USED,163.0,303.0,150,"49,453","30,000",686447.0,246215.0,,,,,,,,
ARIZONA,2014-112,BOLTON,,NARCOTICS,TX,D,41627.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,196.0,30,"3,343",401,24111.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-114,BOLTON,,NARCOTICS,TX,D,41669.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,266.0,40,"4,796",866,25795.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-116,BOLTON,,NARCOTICS,TX,D,41705.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,175.0,35,"3,504",843,23479.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-119,BOLTON,,NARCOTICS,"WC,TX",D,41654.0,30.0,2.0,90.0,INSTALLED AND USED,86.0,39.0,61,"3,425",352,95289.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-122,ZAPATA,,NARCOTICS,TX,D,41702.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,235.0,47,"13,636","2,450",47958.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-123,ZAPATA,,NARCOTICS,TX,D,41674.0,30.0,2.0,90.0,INSTALLED AND USED,86.0,377.0,140,"32,476","8,122",119130.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-125,BOLTON,,NARCOTICS,"WC,TX",D,41740.0,30.0,1.0,60.0,INSTALLED AND USED,29.0,,,,,107203.0,6748.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-127,BOLTON,,NARCOTICS,TX,D,41737.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,2782.0,165,"80,686","9,608",93916.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-128,BOLTON,,NARCOTICS,TX,D,41750.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,179.0,40,"5,199","1,148",23478.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-130,ZAPATA,,NARCOTICS,TX,D,41802.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-132,ZAPATA,O'BRIEN,OTHER,"AP,EO",D,41739.0,30.0,3.0,120.0,INSTALLED AND USED,111.0,368.0,112,"40,863","12,270",547376.0,0.0,4.0,,,,,,,
ARIZONA,2014-133,BOLTON,,NARCOTICS,TX,D,41830.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,114.0,40,"3,332",876,23794.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-135,COLLINS,,NARCOTICS,TX,D,41851.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,352.0,30,"8,111","2,007",26014.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-138
ARIZONA,2014-138,COLLINS,,NARCOTICS,TX,D,41821.0,30.0,1.0,60.0,INSTALLED AND USED,52.0,77.0,35,"4,038","1,476",50590.0,3500.0,2.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-140,ZAPATA,,NARCOTICS,TX,D,41817.0,30.0,1.0,60.0,INSTALLED AND USED,56.0,145.0,81,"8,164","1,476",94347.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-141,ZAPATA,O'BRIEN,OTHER,"AP,EO",D,41796.0,30.0,2.0,90.0,INSTALLED AND USED,81.0,1260.0,162,"102,139","35,457",,,4.0,,,,,,RELATED TO NO. 2014-132,
ARIZONA,2014-144,ZIPPS,,NARCOTICS,TX,D,41878.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,28.0,48,813,611,22795.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-145,LOGAN,,NARCOTICS,TX,D,41876.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,100.0,37,"2,928",382,13651.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-146,ZAPATA,O'BRIEN,OTHER,"AP,EO",D,41796.0,30.0,3.0,120.0,INSTALLED AND USED,110.0,853.0,200,"93,911","39,649",,,4.0,,,,,,RELATED TO NO. 2014-132,
ARIZONA,2014-147,ZAPATA,,NARCOTICS,TX,D,41733.0,30.0,6.0,210.0,INSTALLED AND USED,197.0,139.0,27,"27,400","10,370",392302.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-149,ZAPATA,,NARCOTICS,TX,D,41905.0,30.0,1.0,60.0,INSTALLED AND USED,56.0,168.0,150,"9,416","2,729",47090.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-150,ZAPATA,,NARCOTICS,TX,D,41851.0,30.0,3.0,120.0,INSTALLED AND USED,113.0,72.0,111,"8,199","3,047",127566.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-152,ZAPATA,,NARCOTICS,TX,D,41900.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,39.0,44,"2,397","1,359",71385.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-153,BURY,,NARCOTICS,TX,D,41933.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,43.0,27,"1,311",609,22795.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-157,WAKE,,NARCOTICS,AP,D,41942.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,22110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2014-160,ZAPATA,,NARCOTICS,TX,D,41934.0,30.0,1.0,60.0,INSTALLED AND USED,45.0,35.0,89,"1,587",527,46342.0,2752.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-164,ZAPATA,BLANCO,CONSPIRACY,AP,D,41961.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,219.0,23,"13,173","2,718",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-165,ZAPATA,,NARCOTICS,TX,D,41962.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,4.0,4,268,42,104486.0,4756.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-167,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,41932.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,281.0,167,"33,758","31,934",348052.0,4052.0,,,,,,,,
ARIZONA,2015-168,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42020.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,27.0,14,835,350,87013.0,1013.0,,,,,,,RELATED TO NO. 2015-172,
ARIZONA,2015-169,ZAPATA,BLANCO,CONSPIRACY,AP,D,41914.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,261.0,119,"31,379","8,897",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-170,ZAPATA,,NARCOTICS,TX,D,42048.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,1.0,1,14,0,11237.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-172,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42040.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,53.0,13,"1,608","1,422",87013.0,1013.0,,,,,,,,
ARIZONA,2015-173,ZAPATA,,NARCOTICS,TX,D,42017.0,30.0,2.0,90.0,INSTALLED AND USED,57.0,170.0,163,"9,746","4,015",109068.0,2256.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-175,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,98.0,45,"2,964","2,557",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-176,ZAPATA,,NARCOTICS,TX,D,42009.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,10.0,23,597,136,45866.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-178,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,1.0,60.0,INSTALLED AND USED,37.0,30.0,26,"1,128",805,,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-179,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,1.0,60.0,INSTALLED AND USED,37.0,30.0,12,"1,128",805,,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-180,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42020.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,411.0,41,"24,686","15,659",174026.0,2026.0,,,,,,,,
ARIZONA,2015-181,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,110.0,23,"6,640","3,691",,,4.0,,,,,,RELATED TO NO. 2015-206,
ARIZONA,2015-183,ZAPATA,,NARCOTICS,TX,D,42082.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,226.0,25,"6,581","1,595",33287.0,3039.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-184,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42020.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,238.0,92,"21,470","15,014",261039.0,3039.0,,,,,,,RELATED TO NO. 2015-188,
ARIZONA,2015-185,RAYES,BLANCO,NARCOTICS,"TX,EO",D,42095.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,412.0,,"12,385","4,826",40821.0,1013.0,0.0,,,,,,,
ARIZONA,2015-187,ZAPATA,,NARCOTICS,TX,D,41990.0,30.0,4.0,150.0,INSTALLED AND USED,114.0,80.0,151,"9,120","3,877",200672.0,11519.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-188,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42020.0,30.0,3.0,120.0,INSTALLED AND USED,101.0,120.0,54,"12,184","10,701",261039.0,3039.0,,,,,,,,
ARIZONA,2015-189,ZAPATA,BLANCO,CONSPIRACY,WC,D,42116.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,8,9,0,,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-190,ZAPATA,BLANCO,CONSPIRACY,AP,D,41991.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,387.0,80,"58,067","16,601",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-191,ZAPATA,BLANCO,CONSPIRACY,AP,D,42116.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,29.0,14,882,633,,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-193,ZAPATA,,NARCOTICS,"WC,TX",D,42088.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,26.0,60,"1,565",289,44778.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-194,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42117.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,211.0,70,"6,356","4,998",87013.0,1013.0,,,,,,,RELATED TO NO. 2015-172,
ARIZONA,2015-195,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42065.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,177.0,65,"15,991","15,184",261039.0,3039.0,,,,,,,RELATED TO NO. 2015-188,
ARIZONA,2015-197,BURY,,NARCOTICS,WC,D,42130.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,6.0,8,190,31,23795.0,1875.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-198,ZAPATA,O'BRIEN,DRUGS - ILLEGAL,"WC,TX,EO",D,41932.0,30.0,7.0,240.0,INSTALLED AND USED,240.0,,,,,416189.0,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-199,ZAPATA,O'BRIEN,DRUGS - ILLEGAL,"WC,TX,EO",D,41932.0,30.0,7.0,240.0,INSTALLED AND USED,240.0,,,,,416189.0,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-198,
ARIZONA,2015-200,ZAPATA,O'BRIEN,DRUGS - ILLEGAL,"WC,TX,EO",D,41932.0,30.0,7.0,240.0,INSTALLED AND USED,240.0,,,,,416189.0,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-198,
ARIZONA,2015-201,ZAPATA,O'BRIEN,DRUGS - ILLEGAL,"WC,TX,EO",D,41932.0,30.0,7.0,240.0,INSTALLED AND USED,240.0,,,,,416189.0,16915.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-202,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42144.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,159.0,31,"4,776","2,834",87013.0,1013.0,,,,,,,RELATED TO NO. 2015-172,
ARIZONA,2015-203,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42144.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,87.0,18,"2,631","2,596",87013.0,1013.0,,,,,,,RELATED TO NO. 2015-172,
ARIZONA,2015-204,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,94.0,76,"11,393","9,744",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-205,ZAPATA,BLANCO,CONSPIRACY,AP,D,42156.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,131.0,34,"3,935","2,093",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-206,ZAPATA,BLANCO,CONSPIRACY,AP,D,42156.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,291.0,59,"8,759","7,268",1477737.0,40457.0,5.0,,,,,,,
ARIZONA,2015-207,ZAPATA,BLANCO,CONSPIRACY,AP,D,42047.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,126.0,157,"15,124","8,083",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-208,ZAPATA,BLANCO,CONSPIRACY,AP,D,42116.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,74.0,40,"4,456","3,115",,,5.0,,,,,,RELATED TO NO. 2015-206,RELATED TO NO. 2015-206
ARIZONA,2015-209,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42117.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,257.0,49,"15,464","14,517",174026.0,2026.0,,,,,,,RELATED TO NO. 2015-180,
ARIZONA,2015-210,TUCHI,,NARCOTICS,"WC,TX",D,42159.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,75.0,60,"2,184",612,47278.0,3750.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-211,ZAPATA,,NARCOTICS,TX,D,42157.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,95.0,72,"2,763","1,035",59703.0,1765.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ARIZONA,2015-214,RAYES,O'BRIEN,NARCOTICS,"WC,AP,EO",D,42095.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,394.0,123,"35,524","26,299",261039.0,3039.0,,,,,,,RELATED TO NO. 2015-188,
