State,Jurisdiction,A.O. Number,Judge,Prosecutor,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
CALIFORNIA,FRESNO,2016-34,HARRELL,SMITTCAMP,MURDER,"WC,EE,TX,EO","D,O",42634.0,30.0,1.0,60.0,INSTALLED AND USED,44.0,381.0,611,"16,781","8,174",92420.0,30750.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2016-1,PLOURD,OTERO,NARCOTICS,WC,D,42429.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,230.0,"1,072","6,903","1,340",28322.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,IMPERIAL,2016-2,PLOURD,OTERO,NARCOTICS,WC,D,42429.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,24.0,6,736,288,28322.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-1,FIDLER,LACEY,MURDER,TX,D,42340.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,84.0,2,"2,523","1,222",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-2,FIDLER,LACEY,NARCOTICS,WC,D,42349.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,3.0,10,68,28,16897.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-3,FIDLER,LACEY,NARCOTICS,TX,D,42285.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,84.0,33,"7,638","1,921",31000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-4,FIDLER,LACEY,NARCOTICS,TX,D,42326.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,241.0,35,"14,500","6,500",31000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-5,FIDLER,LACEY,NARCOTICS,TX,D,42243.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,223.0,150,"33,534","9,644",31500.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-6,FIDLER,LACEY,NARCOTICS,WC,D,42366.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,61.0,5,"1,835",469,13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-7,FIDLER,LACEY,NARCOTICS,WC,D,42366.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,61.0,5,"1,835",469,13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-8,FIDLER,LACEY,MURDER,WC,D,42348.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,194.0,675,"11,473","1,186",258400.0,8400.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-9,FIDLER,LACEY,NARCOTICS,WC,D,42389.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,67.0,151,"1,900",274,28700.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-10,BAILEY,LACEY,NARCOTICS,WC,D,42390.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,10.0,9,307,113,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-11,FIDLER,LACEY,MURDER,WC,D,42306.0,30.0,3.0,120.0,INSTALLED AND USED,111.0,958.0,"1,373","106,401","2,987",658600.0,33600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-12,FIDLER,LACEY,MURDER,WC,D,42306.0,30.0,3.0,120.0,INSTALLED AND USED,111.0,559.0,"1,325","62,074","4,730",657600.0,32600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-13,FIDLER,LACEY,NARCOTICS,WC,D,42368.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,22.0,34,"1,341",402,20000.0,2000.0,5.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-14,FIDLER,LACEY,NARCOTICS,WC,D,42305.0,30.0,0.0,30.0,INSTALLED AND USED,118.0,4737.0,222,"559,003","113,528",94000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-15,FIDLER,LACEY,NARCOTICS,TX,D,42368.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,16.0,40,987,207,40500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-16,FIDLER,LACEY,NARCOTICS,TX,D,42410.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,0.0,0,0,0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-17,FIDLER,LACEY,NARCOTICS,WC,D,42397.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1323.0,38,"39,698","3,603",13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-18,FIDLER,LACEY,NARCOTICS,WC,D,42396.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,610.0,29,"18,307","5,672",13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-19,FIDLER,LACEY,NARCOTICS,WC,D,42537.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,266.0,17,"7,202","2,847",14013.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-20,FIDLER,LACEY,NARCOTICS,WC,D,42405.0,30.0,0.0,30.0,INSTALLED AND USED,70.0,1646.0,95,"115,249","32,046",51000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-21,FIDLER,LACEY,NARCOTICS,WC,D,42348.0,30.0,0.0,30.0,INSTALLED AND USED,90.0,2454.0,46,"220,884","7,912",25000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-22,FIDLER,LACEY,NARCOTICS,TX,D,42135.0,30.0,3.0,120.0,INSTALLED AND USED,330.0,66.0,"4,600","22,000","2,300",31000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-23,FIDLER,LACEY,NARCOTICS,WC,D,42404.0,30.0,1.0,60.0,INSTALLED AND USED,44.0,128.0,108,"5,651",870,41525.0,1400.0,8.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-24,FIDLER,LACEY,NARCOTICS,TX,D,42436.0,20.0,0.0,20.0,INSTALLED AND USED,20.0,1.0,3,34,4,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-25,FIDLER,LACEY,NARCOTICS,WC,D,42424.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,175.0,84,"5,260","1,056",27520.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-26,FIDLER,LACEY,NARCOTICS,WC,D,42445.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,0.0,2,2,2,27500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-27,FIDLER,LACEY,NARCOTICS,WC,D,42431.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,211.0,592,"5,490",119,28220.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-28,FIDLER,LACEY,NARCOTICS,WC,D,42426.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,7.0,12,214,7,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-29,FIDLER,LACEY,NARCOTICS,WC,D,42426.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,14.0,53,435,26,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-30,FIDLER,LACEY,NARCOTICS,WC,D,42424.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,124.0,23,"3,722",647,13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-31,FIDLER,LACEY,NARCOTICS,WC,D,42432.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,26.0,100,800,540,31000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-32,FIDLER,LACEY,NARCOTICS,WC,D,42446.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,69.0,21,"1,107",24,27520.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-33,FIDLER,LACEY,NARCOTICS,WC,D,42446.0,0.0,1.0,0.0,INSTALLED AND USED,30.0,0.0,0,0,0,20000.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-34,FIDLER,LACEY,NARCOTICS,WC,D,42403.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,245.0,19,"14,728",650,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-35,FIDLER,LACEY,NARCOTICS,WC,D,42432.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,59.0,46,"1,784",702,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-36,FIDLER,LACEY,NARCOTICS,TX,D,42433.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,19.0,70,588,208,30357.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-37,FIDLER,LACEY,NARCOTICS,WC,D,42439.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,176.0,44,"5,295","1,359",20000.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-38,FIDLER,LACEY,NARCOTICS,WC,D,42398.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,237.0,10,"14,261","4,319",13000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-39,FIDLER,LACEY,NARCOTICS,WC,D,42458.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,147.0,94,"3,091",403,27520.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-40,FIDLER,LACEY,MURDER,WC,D,42459.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,32.0,61,649,47,232500.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-41,FIDLER,LACEY,NARCOTICS,WC,D,42446.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,126.0,32,"3,782",466,20000.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-42,FIDLER,LACEY,NARCOTICS,WC,D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,13.0,10,394,158,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-43,FIDLER,LACEY,NARCOTICS,WC,D,42471.0,30.0,0.0,30.0,INSTALLED AND USED,12.0,0.0,0,0,0,20000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-44,FIDLER,LACEY,NARCOTICS,WC,D,42454.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,3,28,4,20000.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-45,FIDLER,LACEY,NARCOTICS,WC,D,36972.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,159.0,162,"4,782",436,28020.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-46,FIDLER,LACEY,NARCOTICS,WC,D,42451.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,159.0,162,"4,782",436,28020.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-47,FIDLER,LACEY,MURDER,WC,D,42429.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,126.0,183,"7,573",435,232500.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-48,FIDLER,LACEY,NARCOTICS,WC,D,42464.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,2.0,1,85,3,20000.0,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-49,FIDLER,LACEY,NARCOTICS,WC,D,42465.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,18.0,0,543,0,40000.0,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2016-50,FIDLER,LACEY,NARCOTICS,WC,D,42429.0,30.0,0.0,30.0,INSTALLED AND USED,60.0,3636.0,147,"218,205","35,383",50000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
