"Wiretap Table B-1. State Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
CALIFORNIA,CONTRA COSTA,2018-77116,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43348.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3237.0,"1,739","97,111","2,184",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77118,LAETTNER,BECTON,MURDER,"TX,WC",D,43145.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,74.0,196,"2,208",68,132350.0,3200.0,2.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2018-77120,LAETTNER,BECTON,MURDER,WC,D,43354.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77123,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43182.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4672.0,"2,932","140,150","10,489",385911.0,12340.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77125,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43194.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,7786.0,"2,932","140,150","10,489",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77127,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43203.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,140150.0,"2,932","140,150","10,489",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77129,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43212.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4672.0,"2,932","140,150","10,489",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77131,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43224.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4672.0,"2,932","140,150","10,489",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,CONTRA COSTA,2018-77133,LAETTNER,BECTON,MURDER,"TX,WC",D,43230.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,1734.0,253,"27,751",207,91739.0,2000.0,2.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,CONTRA COSTA,2018-77135,LAETTNER,BECTON,HUMAN/SEX TRAFFICKING,"TX,WC",D,43234.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,FRESNO,2018-76826,HARRELL,SMITTCAMP,MURDER,"TX,WC","D,H",43216.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,172.0,150,"4,975",136,95300.0,14000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,FRESNO,2018-76828,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43266.0,30.0,1.0,60.0,INSTALLED AND USED,53.0,607.0,127,"32,197","5,403",974403.0,30000.0,31.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,FRESNO,2018-76831,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43276.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,200.0,93,"11,974","2,492",0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,FRESNO,2018-76833,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43280.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,15.0,18,307,90,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,FRESNO,2018-76835,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43294.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,131.0,46,"3,933","1,479",0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,FRESNO,2018-76837,HARRELL,SMITTCAMP,OTHER,EE,D,43301.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,53.0,10,"1,069",118,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,FRESNO,2018-76839,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43313.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,95.0,1,"2,765",730,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,FRESNO,2018-76841,HARRELL,SMITTCAMP,OTHER,"EE,WC",D,43322.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,132.0,66,"2,638",886,0.0,0.0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-76828,RELATED TO NO. 2018-76828
CALIFORNIA,KERN,2018-76843,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,82.0,0,"1,316",26,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76844,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,227.0,2,227,1,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76846,BROWNLEE,GREEN,NARCOTICS,"TX,WC",D,43179.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,36.0,96,"3,197",385,119000.0,23000.0,2.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,KERN,2018-76848,BROWNLEE,GREEN,OTHER,WC,D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,432.0,0,"6,480",61,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76850,BROWNLEE,GREEN,OTHER,WC,D,43108.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,0.0,0,0,0,167405.0,18776.0,7.0,1.0,0.0,0.0,0.0,3.0,,
CALIFORNIA,KERN,2018-76852,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,67.0,4,"1,069",19,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76854,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,34.0,0,620,17,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76855,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,3.0,4,50,14,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76857,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-76859,BROWNLEE,GREEN,OTHER,"EE,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,67.0,0,"1,079",53,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,KERN,2018-77137,BROWNLEE,GREEN,OTHER,"TX,WC",D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,94.0,0,"1,687",117,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LAKE,2018-76915,FIDLER,LACEY,NARCOTICS,WC,D,43216.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,34000.0,4000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76779,FIDLER,LACEY,NARCOTICS,WC,D,43286.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,8.0,5,479,234,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76782,FIDLER,LACEY,NARCOTICS,WC,D,43279.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,13.0,38,782,242,20000.0,2000.0,2.0,0,0.0,0.0,2.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76784,FIDLER,LACEY,NARCOTICS,WC,D,43284.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,7.0,8,210,78,15000.0,3000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76786,FIDLER,LACEY,NARCOTICS,WC,D,43287.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,33.0,20,978,187,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76788,FIDLER,LACEY,NARCOTICS,WC,D,43286.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,121.0,98,"3,618",577,30597.0,1700.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76790,FIDLER,LACEY,NARCOTICS,WC,D,43292.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,88.0,179,"5,283",624,20000.0,2000.0,3.0,0,0.0,0.0,3.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76792,FIDLER,LACEY,NARCOTICS,WC,D,43291.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,70.0,30,"6,293","1,409",20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76794,FIDLER,LACEY,NARCOTICS,WC,D,43293.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,13.0,37,376,49,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76796,FIDLER,LACEY,NARCOTICS,WC,D,43298.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,65.0,39,"1,960",90,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76798,FIDLER,LACEY,NARCOTICS,WC,D,43304.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,496.0,134,"14,874",300,40000.0,4000.0,3.0,0,0.0,0.0,3.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76800,FIDLER,LACEY,NARCOTICS,WC,D,43307.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,1.0,1,1,0,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76802,FIDLER,LACEY,NARCOTICS,WC,D,43307.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,14.0,4,"1,264",560,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76803,FIDLER,LACEY,NARCOTICS,WC,D,43314.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,148.0,172,"8,890","1,046",46250.0,4000.0,1.0,0,0.0,0.0,1.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76805,FIDLER,LACEY,NARCOTICS,WC,D,43308.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,45.0,124,"1,348",54,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76807,FIDLER,LACEY,NARCOTICS,WC,D,43235.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,29.0,13,"1,730",666,32166.0,4000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76809,FIDLER,LACEY,NARCOTICS,WC,D,43313.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,3,100,36,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76811,FIDLER,LACEY,NARCOTICS,WC,D,43321.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,1,2,1,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76813,FIDLER,LACEY,NARCOTICS,WC,D,43320.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,183.0,228,"10,967",702,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76815,FIDLER,LACEY,NARCOTICS,WC,D,43328.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76817,FIDLER,LACEY,NARCOTICS,WC,D,43336.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,23,85,0,30000.0,2000.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-76840
CALIFORNIA,LOS ANGELES,2018-76818,FIDLER,LACEY,NARCOTICS,WC,D,43347.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,142.0,262,"8,544","1,115",20000.0,2000.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76820,FIDLER,LACEY,NARCOTICS,WC,D,43349.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,20000.0,2000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76823,FIDLER,LACEY,NARCOTICS,"WC,WO",D,43178.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,150.0,135,"4,507","1,907",20500.0,7500.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76825,FIDLER,LACEY,NARCOTICS,WC,D,43209.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,61.0,461,"3,651",188,17000.0,5000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76827,FIDLER,LACEY,NARCOTICS,WC,D,43326.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,2,99,2,30398.0,1500.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76829,FIDLER,LACEY,NARCOTICS,WC,D,43292.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,161.0,314,"9,659","1,506",46250.0,4000.0,3.0,0,0.0,0.0,3.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76830,FIDLER,SPILLANE,NARCOTICS,WC,D,43357.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,79.0,183,"2,357",540,30000.0,2000.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-76840
CALIFORNIA,LOS ANGELES,2018-76832,FIDLER,LACEY,NARCOTICS,WC,D,43368.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,5,10,0,30000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76834,FIDLER,LACEY,NARCOTICS,WC,D,43348.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,25.0,56,743,84,46250.0,4000.0,0.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76836,FIDLER,LACEY,NARCOTICS,WC,D,43354.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,9.0,3,567,247,20000.0,2000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76838,FIDLER,LACEY,NARCOTICS,WC,D,43355.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,408.0,350,"24,462","1,578",20000.0,2000.0,5.0,0,0.0,0.0,5.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76840,FIDLER,LACEY,NARCOTICS,WC,D,43320.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,121.0,165,"10,881","1,274",30000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76842,FIDLER,LACEY,NARCOTICS,WC,D,43335.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,55.0,89,"3,280",402,88500.0,4000.0,0.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76845,FIDLER,LACEY,NARCOTICS,WC,D,43332.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,16.0,6,936,413,20000.0,2000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76847,FIDLER,LACEY,NARCOTICS,WC,D,43357.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,39.0,26,"2,343",558,46250.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76849,FIDLER,LACEY,NARCOTICS,WC,D,43336.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,225.0,401,"13,476","2,094",88500.0,4000.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76851,FIDLER,LACEY,NARCOTICS,WC,D,43356.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,98.0,100,"5,887",353,46500.0,4000.0,0.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76853,FIDLER,LACEY,NARCOTICS,WC,D,43355.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,31.0,41,"1,860",130,46500.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76856,FIDLER,LACEY,NARCOTICS,WC,D,43362.0,30.0,2.0,90.0,INSTALLED AND USED,80.0,107.0,255,"8,554","1,279",20000.0,2000.0,1.0,0,0.0,0.0,1.0,0.0,,
CALIFORNIA,LOS ANGELES,2018-76858,FIDLER,LACEY,NARCOTICS,WC,D,43360.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,248.0,40,"7,438",506,25125.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76860,FIDLER,LACEY,NARCOTICS,WC,D,43090.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,3.0,2,200,77,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76861,FIDLER,LACEY,NARCOTICS,WC,D,43178.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,21.0,34,"1,864",558,46250.0,4000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76862,FIDLER,LACEY,NARCOTICS,WC,D,43339.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,8.0,20,466,376,88500.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76863,FIDLER,LACEY,NARCOTICS,WC,D,43166.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,24,41,0,20000.0,2000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,LOS ANGELES,2018-76864,FIDLER,LACEY,NARCOTICS,WC,D,43375.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,1,2,0,46250.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
